Shape,A,OD,ID,t(nom),t(des),wt./ft.,D/t,I,S,r,Z,J,C
HSS3.500X0.216,2.08,3.5,3.098,0.216,0.201,7.58,17.4,2.84,1.63,1.17,2.19,5.69,3.25
HSS3.500X0.203,1.97,3.5,3.122,0.203,0.189,7.15,18.5,2.7,1.54,1.17,2.07,5.41,3.09
HSS3.500X0.188,1.82,3.5,3.152,0.188,0.174,6.66,20.1,2.52,1.44,1.18,1.93,5.04,2.88
HSS3.500X0.125,1.23,3.5,3.268,0.125,0.116,4.51,30.2,1.77,1.01,1.2,1.33,3.53,2.02
HSS3X0.250,2.03,3,2.534,0.25,0.233,7.35,12.9,1.95,1.3,0.982,1.79,3.9,2.6
HSS3X0.216,1.77,3,2.598,0.216,0.201,6.43,14.9,1.74,1.16,0.992,1.58,3.48,2.32
HSS3X0.203,1.67,3,2.622,0.203,0.189,6.07,15.9,1.66,1.1,0.996,1.5,3.31,2.21
HSS3X0.188,1.54,3,2.652,0.188,0.174,5.65,17.2,1.55,1.03,1,1.39,3.1,2.06
HSS3X0.152,1.27,3,2.718,0.152,0.141,4.63,21.3,1.3,0.865,1.01,1.15,2.59,1.73
HSS3X0.134,1.12,3,2.752,0.134,0.124,4.11,24.2,1.16,0.774,1.02,1.03,2.32,1.55
HSS3X0.125,1.05,3,2.768,0.125,0.116,3.84,25.9,1.09,0.73,1.02,0.965,2.19,1.46
HSS2.875X0.250,1.93,2.875,2.409,0.25,0.233,7.02,12.3,1.7,1.18,0.938,1.63,3.4,2.37
HSS2.875X0.203,1.59,2.875,2.497,0.203,0.189,5.8,15.2,1.45,1.01,0.952,1.37,2.89,2.01
HSS2.875X0.188,1.48,2.875,2.527,0.188,0.174,5.4,16.5,1.35,0.941,0.957,1.27,2.7,1.88
HSS2.875X0.125,1.01,2.875,2.643,0.125,0.116,3.67,24.8,0.958,0.667,0.976,0.884,1.92,1.33
HSS2.500X0.250,1.66,2.5,2.034,0.25,0.233,6.01,10.7,1.08,0.862,0.806,1.2,2.15,1.72
HSS2.500X0.188,1.27,2.5,2.152,0.188,0.174,4.65,14.4,0.865,0.692,0.825,0.943,1.73,1.38
HSS2.500X0.125,0.869,2.5,2.268,0.125,0.116,3.17,21.6,0.619,0.495,0.844,0.66,1.24,0.99
HSS2.375X0.250,1.57,2.375,1.909,0.25,0.233,5.68,10.2,0.91,0.766,0.762,1.07,1.82,1.53
HSS2.375X0.218,1.39,2.375,1.969,0.218,0.203,5.03,11.7,0.824,0.694,0.771,0.96,1.65,1.39
HSS2.375X0.188,1.2,2.375,2.027,0.188,0.174,4.4,13.6,0.733,0.617,0.781,0.845,1.47,1.23
HSS2.375X0.154,1,2.375,2.089,0.154,0.143,3.66,16.6,0.627,0.528,0.791,0.713,1.25,1.06
HSS2.375X0.125,0.823,2.375,2.143,0.125,0.116,3.01,20.5,0.527,0.443,0.8,0.592,1.05,0.887
HSS1.900X0.188,0.943,1.9,1.552,0.188,0.174,3.44,10.9,0.355,0.374,0.613,0.52,0.71,0.747
HSS1.900X0.145,0.749,1.9,1.63,0.145,0.135,2.72,14.1,0.293,0.309,0.626,0.421,0.586,0.617
HSS1.900X0.120,0.624,1.9,1.678,0.12,0.111,2.28,17.1,0.251,0.264,0.634,0.356,0.501,0.527
HSS1.660X0.140,0.625,1.66,1.4,0.14,0.13,2.27,12.8,0.184,0.222,0.543,0.305,0.368,0.444
Pipe12STD,13.7,12.8,12,0.375,0.349,49.6,36.5,262,41,4.39,53.7,523,---
Pipe10STD,11.5,10.8,10,0.365,0.34,40.5,31.6,151,28.1,3.68,36.9,302,---
Pipe8STD,7.85,8.63,7.98,0.322,0.3,28.6,28.8,68.1,15.8,2.95,20.8,136,---
Pipe6STD,5.2,6.63,6.07,0.28,0.261,19,25.4,26.5,7.99,2.25,10.6,52.9,---
Pipe5STD,4.01,5.56,5.05,0.258,0.241,14.6,23.1,14.3,5.14,1.88,6.83,28.6,---
Pipe4STD,2.96,4.5,4.03,0.237,0.221,10.8,20.4,6.82,3.03,1.51,4.05,13.6,---
Pipe3-1/2STD,2.5,4,3.55,0.226,0.211,9.12,19,4.52,2.26,1.34,3.03,9.04,---
Pipe3STD,2.07,3.5,3.07,0.216,0.201,7.58,17.4,2.85,1.63,1.17,2.19,5.69,---
Pipe2-1/2STD,1.61,2.88,2.47,0.203,0.189,5.8,15.2,1.45,1.01,0.952,1.37,2.89,---
Pipe2STD,1.02,2.38,2.07,0.154,0.143,3.66,16.6,0.627,0.528,0.791,0.713,1.25,---
Pipe1-1/2STD,0.749,1.9,1.61,0.145,0.135,2.72,14.1,0.293,0.309,0.626,0.421,0.586,---
Pipe1-1/4STD,0.625,1.66,1.38,0.14,0.13,2.27,12.8,0.184,0.222,0.543,0.305,0.368,---
Pipe1STD,0.469,1.32,1.05,0.133,0.124,1.68,10.6,0.083,0.126,0.423,0.177,0.166,---
Pipe3/4STD,0.312,1.05,0.824,0.113,0.105,1.13,10,0.035,0.0671,0.336,0.0942,0.07,---
Pipe1/2STD,0.234,0.84,0.622,0.109,0.101,0.85,8.32,0.016,0.0388,0.264,0.0555,0.032,---
Pipe12XS,17.5,12.8,11.8,0.5,0.465,65.5,27.4,339,53.2,4.35,70.2,678,---
Pipe10XS,15.1,10.8,9.75,0.5,0.465,54.8,23.1,199,37,3.64,49.2,398,---
Pipe8XS,11.9,8.63,7.63,0.5,0.465,43.4,18.5,100,23.1,2.89,31,199,---
Pipe6XS,7.83,6.63,5.76,0.432,0.403,28.6,16.4,38.3,11.6,2.2,15.6,76.6,---
Pipe5XS,5.73,5.56,4.81,0.375,0.349,20.8,15.9,19.5,7.02,1.85,9.5,39,---
Pipe4XS,4.14,4.5,3.83,0.337,0.315,15,14.3,9.12,4.05,1.48,5.53,18.2,---
Pipe3-1/2XS,3.43,4,3.36,0.318,0.296,12.5,13.5,5.94,2.97,1.31,4.07,11.9,---
Pipe3XS,2.83,3.5,2.9,0.3,0.28,10.3,12.5,3.7,2.11,1.14,2.91,7.4,---
Pipe2-1/2XS,2.1,2.88,2.32,0.276,0.257,7.67,11.2,1.83,1.27,0.93,1.77,3.66,---
Pipe2XS,1.4,2.38,1.94,0.218,0.204,5.03,11.7,0.827,0.696,0.771,0.964,1.65,---
Pipe1-1/2XS,1,1.9,1.5,0.2,0.186,3.63,10.2,0.372,0.392,0.61,0.549,0.744,---
Pipe1-1/4XS,0.837,1.66,1.28,0.191,0.178,3,9.33,0.231,0.278,0.528,0.393,0.462,---
Pipe1XS,0.602,1.32,0.957,0.179,0.166,2.17,7.92,0.101,0.154,0.41,0.221,0.202,---
Pipe3/4XS,0.407,1.05,0.742,0.154,0.143,1.48,7.34,0.043,0.0818,0.325,0.119,0.086,---
Pipe1/2XS,0.303,0.84,0.546,0.147,0.137,1.09,6.13,0.019,0.0462,0.253,0.0686,0.038,---
Pipe8XXS,20,8.63,6.88,0.875,0.816,72.5,10.6,154,35.8,2.78,49.9,308,---
Pipe6XXS,14.7,6.63,4.9,0.864,0.805,53.2,8.23,63.5,19.2,2.08,27.4,127,---
Pipe5XXS,10.7,5.56,4.06,0.75,0.699,38.6,7.96,32.2,11.6,1.74,16.7,64.4,---
Pipe4XXS,7.66,4.5,3.15,0.674,0.628,27.6,7.17,14.7,6.53,1.39,9.5,29.4,---
Pipe3XXS,5.17,3.5,2.3,0.6,0.559,18.6,6.26,5.79,3.31,1.06,4.89,11.6,---
Pipe2-1/2XXS,3.83,2.88,1.77,0.552,0.514,13.7,5.59,2.78,1.94,0.854,2.91,5.56,---
Pipe2XXS,2.51,2.38,1.5,0.436,0.406,9.04,5.85,1.27,1.07,0.711,1.6,2.54,---
