Shape,A,d,tw,bf,tf,k(des),k(det),T,gage,rts,ho,wt./ft.,eo,Ix,Sx,rx,Zx,Iy,Sy,ry,x(bar),Zy,xp,J,Cw,ro(bar),H
C6X13,3.82,6,0.437,2.16,0.343,0.8125,0.8125,4.375,1.375,0.689,5.66,13,0.38,17.3,5.78,2.13,7.29,1.05,0.638,0.524,0.514,1.35,0.318,0.237,7.19,2.37,0.858
C6X10.5,3.07,6,0.314,2.03,0.343,0.8125,0.8125,4.375,1.125,0.669,5.66,10.5,0.486,15.1,5.04,2.22,6.18,0.86,0.561,0.529,0.5,1.14,0.256,0.128,5.91,2.48,0.842
C6X8.2,2.39,6,0.2,1.92,0.343,0.8125,0.8125,4.375,1.125,0.643,5.66,8.2,0.599,13.1,4.35,2.34,5.16,0.687,0.488,0.536,0.512,0.987,0.199,0.0736,4.7,2.65,0.824
C5X9,2.64,5,0.325,1.89,0.32,0.75,0.75,3.5,1.125,0.616,4.68,9,0.427,8.89,3.56,1.84,4.39,0.624,0.444,0.486,0.478,0.913,0.264,0.109,2.93,2.1,0.815
C5X6.7,1.97,5,0.19,1.75,0.32,0.75,0.75,3.5,---,0.584,4.68,6.7,0.552,7.48,2.99,1.95,3.55,0.47,0.372,0.489,0.484,0.757,0.215,0.0549,2.22,2.26,0.79
C4X7.25,2.13,4,0.321,1.72,0.296,0.75,0.75,2.5,1,0.563,3.7,7.25,0.386,4.58,2.29,1.47,2.84,0.425,0.337,0.447,0.459,0.695,0.266,0.0817,1.24,1.75,0.767
C4X6.25,1.77,4,0.247,1.65,0.272,0.75,0.75,2.5,1,0.546,3.73,6.25,0.434,4,2,1.5,2.43,0.345,0.284,0.441,0.435,0.569,0.221,0.0487,1.03,1.79,0.764
C4X5.4,1.58,4,0.184,1.58,0.296,0.75,0.75,2.5,---,0.528,3.7,5.4,0.501,3.85,1.92,1.56,2.29,0.312,0.277,0.444,0.457,0.565,0.231,0.0399,0.921,1.88,0.742
C4X4.5,1.38,4,0.125,1.58,0.296,0.75,0.75,2.5,---,0.524,3.7,4.5,0.587,3.65,1.83,1.63,2.12,0.289,0.265,0.457,0.493,0.531,0.321,0.0322,0.871,2.01,0.71
C3X6,1.76,3,0.356,1.6,0.273,0.6875,0.6875,1.625,---,0.519,2.73,6,0.322,2.07,1.38,1.09,1.74,0.3,0.263,0.413,0.455,0.543,0.294,0.0725,0.462,1.4,0.69
C3X5,1.47,3,0.258,1.5,0.273,0.6875,0.6875,1.625,---,0.496,2.73,5,0.392,1.85,1.23,1.12,1.52,0.241,0.228,0.405,0.439,0.464,0.245,0.0425,0.379,1.45,0.673
C3X4.1,1.2,3,0.17,1.41,0.273,0.6875,0.6875,1.625,---,0.469,2.73,4.1,0.461,1.65,1.1,1.18,1.32,0.191,0.196,0.398,0.437,0.399,0.262,0.0269,0.307,1.53,0.655
C3X3.5,1.09,3,0.132,1.37,0.273,0.6875,0.6875,1.625,---,0.456,2.73,3.5,0.493,1.57,1.04,1.2,1.24,0.169,0.182,0.394,0.443,0.364,0.296,0.0226,0.276,1.57,0.646
MC18X58,17.1,18,0.7,4.2,0.625,1.4375,1.4375,15.125,2.5,1.35,17.4,58,0.695,675,75,6.29,95.4,17.6,5.28,1.02,0.862,10.7,0.474,2.81,1070,6.56,0.944
MC18X51.9,15.3,18,0.6,4.1,0.625,1.4375,1.4375,15.125,2.5,1.35,17.4,51.9,0.797,627,69.6,6.41,87.3,16.3,5.02,1.03,0.858,9.86,0.424,2.03,985,6.7,0.939
MC18X45.8,13.5,18,0.5,4,0.625,1.4375,1.4375,15.125,2.5,1.34,17.4,45.8,0.909,578,64.2,6.55,79.2,14.9,4.77,1.05,0.866,9.14,0.374,1.45,897,6.87,0.933
