Shape,A,d,b,t,k(des),k(det),wt./ft.,Ix,Sx,rx,y(bar),Zx,yp,Iy,Sy,ry,x(bar),Zy,xp,Iz,Sz,rz,TAN a,Qs,J,Cw,ro(bar),H
L6X6X3/4,8.46,6,6,0.75,1.25,1.25,28.7,28.1,6.64,1.82,1.77,11.9,0.705,28.1,6.64,1.82,1.77,11.9,0.705,11.6,4.63,1.17,1,1,1.61,4.17,3.24,0.63
L6X6X5/8,7.13,6,6,0.625,1.13,1.125,24.2,24.1,5.64,1.84,1.72,10.1,0.594,24.1,5.64,1.84,1.72,10.1,0.594,9.81,4.04,1.17,1,1,0.955,2.5,3.28,0.63
L6X6X9/16,6.45,6,6,0.5625,1.06,1.0625,21.9,22,5.12,1.85,1.7,9.18,0.538,22,5.12,1.85,1.7,9.18,0.538,8.9,3.73,1.18,1,1,0.704,1.85,3.29,0.63
L6X6X1/2,5.77,6,6,0.5,1,1,19.6,19.9,4.59,1.86,1.67,8.22,0.481,19.9,4.59,1.86,1.67,8.22,0.481,8.06,3.4,1.18,1,1,0.501,1.32,3.31,0.63
L6X6X7/16,5.08,6,6,0.4375,0.938,0.9375,17.2,17.6,4.06,1.86,1.65,7.25,0.423,17.6,4.06,1.86,1.65,7.25,0.423,7.05,3.05,1.18,1,0.973,0.34,0.899,3.32,0.63
L6X6X3/8,4.38,6,6,0.375,0.875,0.875,14.9,15.4,3.51,1.87,1.62,6.27,0.365,15.4,3.51,1.87,1.62,6.27,0.365,6.21,2.69,1.19,1,0.912,0.218,0.575,3.34,0.63
L6X6X5/16,3.67,6,6,0.3125,0.813,0.8125,12.4,13,2.95,1.88,1.6,5.26,0.306,13,2.95,1.88,1.6,5.26,0.306,5.2,2.3,1.19,1,0.826,0.129,0.338,3.35,0.63
L6X4X7/8,8,4,6,0.875,1.38,1.375,27.2,27.7,7.13,1.86,2.12,12.7,1.43,9.7,3.37,1.1,1.12,6.26,0.667,5.82,2.91,0.854,0.421,1,2.03,4.04,2.82,–
L6X4X3/4,6.94,4,6,0.75,1.25,1.25,23.6,24.5,6.23,1.88,2.07,11.1,1.37,8.63,2.95,1.12,1.07,5.42,0.578,5.08,2.51,0.856,0.428,1,1.31,2.64,2.85,–
L6X4X5/8,5.86,4,6,0.625,1.13,1.125,20,21,5.29,1.89,2.03,9.44,1.31,7.48,2.52,1.13,1.03,4.56,0.488,4.32,2.12,0.859,0.435,1,0.775,1.59,2.88,–
L6X4X9/16,5.31,4,6,0.5625,1.06,1.0625,18.1,19.2,4.81,1.9,2,8.59,1.28,6.86,2.29,1.14,1,4.13,0.443,3.93,1.92,0.861,0.438,1,0.572,1.18,2.9,–
L6X4X1/2,4.75,4,6,0.5,1,1,16.2,17.3,4.31,1.91,1.98,7.71,1.25,6.22,2.06,1.14,0.981,3.69,0.396,3.54,1.72,0.864,0.44,1,0.407,0.843,2.91,–
L6X4X7/16,4.18,4,6,0.4375,0.938,0.9375,14.3,15.4,3.81,1.92,1.95,6.81,1.22,5.56,1.83,1.15,0.957,3.24,0.348,3.14,1.51,0.867,0.443,0.973,0.276,0.575,2.93,–
L6X4X3/8,3.61,4,6,0.375,0.875,0.875,12.3,13.4,3.3,1.93,1.93,5.89,1.19,4.86,1.58,1.16,0.933,2.79,0.301,2.73,1.31,0.87,0.446,0.912,0.177,0.369,2.94,–
L6X4X5/16,3.03,4,6,0.3125,0.813,0.8125,10.3,11.4,2.77,1.94,1.9,4.96,1.15,4.13,1.34,1.17,0.908,2.33,0.253,2.31,1.1,0.874,0.449,0.826,0.104,0.217,2.96,–
L6X3-1/2X1/2,4.5,3.5,6,0.5,1,1,15.3,16.6,4.23,1.92,2.07,7.49,1.5,4.24,1.59,0.968,0.829,2.88,0.375,2.59,1.34,0.756,0.343,1,0.386,0.779,2.88,–
