Shape,A,d,b,t,k(des),k(det),wt./ft.,Ix,Sx,rx,y(bar),Zx,yp,Iy,Sy,ry,x(bar),Zy,xp,Iz,Sz,rz,TAN a,Qs,J,Cw,ro(bar),H
L2-1/2X2-1/2X1/4,1.19,2.5,2.5,0.25,0.5,0.5,4.1,0.692,0.387,0.764,0.711,0.695,0.238,0.692,0.387,0.764,0.711,0.695,0.238,0.276,0.274,0.482,1,1,0.0261,0.0116,1.36,0.63
L2-1/2X2-1/2X3/16,0.901,2.5,2.5,0.1875,0.438,0.4375,3.07,0.535,0.295,0.771,0.687,0.529,0.18,0.535,0.295,0.771,0.687,0.529,0.18,0.209,0.216,0.482,1,0.983,0.0114,0.0051,1.38,0.63
L2-1/2X2X3/8,1.55,2,2.5,0.375,0.625,0.625,5.3,0.914,0.546,0.766,0.826,0.982,0.433,0.513,0.361,0.574,0.578,0.657,0.31,0.273,0.295,0.419,0.612,1,0.0746,0.0268,1.22,–
L2-1/2X2X5/16,1.32,2,2.5,0.3125,0.563,0.5625,4.5,0.79,0.465,0.774,0.803,0.839,0.388,0.446,0.309,0.581,0.555,0.557,0.264,0.233,0.26,0.42,0.618,1,0.0444,0.0162,1.23,–
L2-1/2X2X1/4,1.07,2,2.5,0.25,0.5,0.5,3.62,0.656,0.381,0.782,0.779,0.688,0.36,0.372,0.253,0.589,0.532,0.454,0.214,0.192,0.213,0.423,0.624,1,0.0235,0.00868,1.25,–
L2-1/2X2X3/16,0.818,2,2.5,0.1875,0.438,0.4375,2.75,0.511,0.293,0.79,0.754,0.529,0.319,0.292,0.195,0.597,0.508,0.347,0.164,0.148,0.163,0.426,0.628,0.983,0.0103,0.00382,1.26,–
L2-1/2X1-1/2X1/4,0.947,1.5,2.5,0.25,0.5,0.5,3.19,0.594,0.364,0.792,0.866,0.644,0.606,0.16,0.142,0.411,0.372,0.261,0.189,0.0977,0.119,0.321,0.354,1,0.0209,0.00694,1.19,–
L2-1/2X1-1/2X3/16,0.724,1.5,2.5,0.1875,0.438,0.4375,2.44,0.464,0.28,0.801,0.839,0.497,0.569,0.126,0.11,0.418,0.347,0.198,0.145,0.0754,0.0914,0.324,0.36,0.983,0.00921,0.00306,1.2,–
L2X2X3/8,1.37,2,2,0.375,0.625,0.625,4.7,0.476,0.348,0.591,0.632,0.629,0.343,0.476,0.348,0.591,0.632,0.629,0.343,0.203,0.227,0.386,1,1,0.0658,0.0174,1.05,0.64
L2X2X5/16,1.16,2,2,0.3125,0.563,0.5625,3.92,0.414,0.298,0.598,0.609,0.537,0.29,0.414,0.298,0.598,0.609,0.537,0.29,0.172,0.2,0.386,1,1,0.0393,0.0106,1.06,0.64
L2X2X1/4,0.944,2,2,0.25,0.5,0.5,3.19,0.346,0.244,0.605,0.586,0.44,0.236,0.346,0.244,0.605,0.586,0.44,0.236,0.142,0.171,0.387,1,1,0.0209,0.00572,1.08,0.63
L2X2X3/16,0.722,2,2,0.1875,0.438,0.4375,2.44,0.271,0.188,0.612,0.561,0.338,0.181,0.271,0.188,0.612,0.561,0.338,0.181,0.109,0.137,0.389,1,1,0.00921,0.00254,1.09,0.63
L2X2X1/8,0.491,2,2,0.125,0.375,0.375,1.65,0.189,0.129,0.62,0.534,0.23,0.123,0.189,0.129,0.62,0.534,0.23,0.123,0.0756,0.0994,0.391,1,0.912,0.00293,0.000789,1.1,0.63
