Shape,A,d,tw,bf,tf,k(des),k(det),gage,wt./ft.,bf/(2*tf),d/tw,Ix,Sx,rx,y(bar),Zx,yp,Iy,Sy,ry,Zy,Qs,J,Cw,ro(bar),H
WT8X50,14.7,8.49,0.585,10.4,0.985,1.39,1.875,5.5,50,5.29,14.5,76.8,11.4,2.28,1.76,20.7,0.706,93.1,17.9,2.51,27.4,1,3.85,10.4,3.63,0.878
WT8X44.5,13.1,8.38,0.525,10.4,0.875,1.28,1.75,5.5,44.5,5.92,16,67.2,10.1,2.27,1.7,18.1,0.631,81.3,15.7,2.49,24,1,2.72,7.19,3.6,0.877
WT8X38.5,11.3,8.26,0.455,10.3,0.76,1.16,1.625,5.5,38.5,6.77,18.2,56.9,8.59,2.24,1.63,15.3,0.549,69.2,13.4,2.47,20.5,0.986,1.78,4.61,3.57,0.877
WT8X33.5,9.81,8.17,0.395,10.2,0.665,1.07,1.5625,5.5,33.5,7.7,20.7,48.6,7.36,2.22,1.56,13,0.481,59.5,11.6,2.46,17.7,0.859,1.19,3.01,3.54,0.879
WT8X28.5,8.39,8.22,0.43,7.12,0.715,1.12,1.375,3.5,28.5,4.98,19.1,48.7,7.77,2.41,1.94,13.8,0.589,21.6,6.06,1.6,9.42,0.94,1.1,1.99,3.3,0.77
WT8X25,7.37,8.13,0.38,7.07,0.63,1.03,1.3125,3.5,25,5.61,21.4,42.3,6.78,2.4,1.89,12,0.521,18.6,5.26,1.59,8.15,0.824,0.76,1.34,3.28,0.769
WT8X22.5,6.63,8.07,0.345,7.04,0.565,0.967,1.25,3.5,22.5,6.23,23.4,37.8,6.1,2.39,1.86,10.8,0.471,16.4,4.67,1.57,7.22,0.723,0.555,0.974,3.27,0.767
WT8X20,5.89,8.01,0.305,7,0.505,0.907,1.1875,3.5,20,6.93,26.3,33.1,5.35,2.37,1.81,9.43,0.421,14.4,4.12,1.56,6.36,0.579,0.396,0.673,3.24,0.769
WT8X18,5.29,7.93,0.295,6.99,0.43,0.832,1.125,3.5,18,8.12,26.9,30.6,5.05,2.41,1.88,8.93,0.378,12.2,3.5,1.52,5.42,0.553,0.272,0.516,3.3,0.745
WT8X15.5,4.56,7.94,0.275,5.53,0.44,0.842,1.125,3.5,15.5,6.28,28.9,27.5,4.64,2.45,2.02,8.27,0.413,6.2,2.24,1.17,3.51,0.479,0.23,0.366,3.26,0.695
WT8X13,3.84,7.85,0.25,5.5,0.345,0.747,1.0625,3.5,13,7.97,31.4,23.5,4.09,2.47,2.09,7.36,0.372,4.79,1.74,1.12,2.73,0.406,0.13,0.243,3.32,0.667
WT7X365,107,11.2,3.07,17.9,4.91,5.51,6.1875,7.5,365,1.82,3.65,739,95.4,2.62,3.47,211,3,2360,264,4.69,408,1,714,5250,5.47,0.966
WT7X332.5,97.8,10.8,2.83,17.7,4.52,5.12,5.8125,7.5,332.5,1.95,3.82,622,82.1,2.52,3.25,182,2.77,2080,236,4.62,365,1,555,3920,5.35,0.966
WT7X302.5,89,10.5,2.6,17.4,4.16,4.76,5.4375,7.5,302.5,2.09,4.04,524,70.6,2.43,3.05,157,2.55,1840,211,4.55,326,1,430,2930,5.24,0.966
WT7X275,80.9,10.1,2.38,17.2,3.82,4.42,5.125,7.5,275,2.25,4.24,442,60.9,2.34,2.85,136,2.35,1630,189,4.49,292,1,331,2180,5.15,0.966
WT7X250,73.5,9.8,2.19,17,3.5,4.1,4.8125,7.5,250,2.43,4.47,375,52.7,2.26,2.67,117,2.16,1440,169,4.43,261,1,254,1620,5.06,0.967
WT7X227.5,66.9,9.51,2.02,16.8,3.21,3.81,4.5,7.5,227.5,2.62,4.71,321,45.9,2.19,2.51,102,1.99,1280,152,4.38,234,1,196,1210,4.98,0.967
WT7X213,62.7,9.34,1.88,16.7,3.04,3.63,4.3125,7.5,213,2.75,4.97,287,41.4,2.14,2.4,91.7,1.88,1180,141,4.34,217,1,164,991,4.92,0.968
WT7X199,58.4,9.15,1.77,16.6,2.85,3.44,4.125,7.5,199,2.92,5.17,257,37.6,2.1,2.3,82.9,1.76,1090,131,4.31,201,1,135,801,4.87,0.968
WT7X185,54.4,8.96,1.66,16.5,2.66,3.26,3.9375,7.5,185,3.1,5.4,229,33.9,2.05,2.19,74.4,1.65,994,121,4.27,185,1,110,640,4.82,0.968
WT7X171,50.3,8.77,1.54,16.4,2.47,3.07,3.75,7.5,171,3.31,5.69,203,30.4,2.01,2.09,66.2,1.54,903,110,4.24,169,1,88.3,502,4.77,0.968
WT7X155.5,45.7,8.56,1.41,16.2,2.26,2.86,3.5625,7.5,155.5,3.59,6.07,176,26.7,1.96,1.97,57.7,1.41,807,99.4,4.2,152,1,67.5,375,4.71,0.969
WT7X141.5,41.6,8.37,1.29,16.1,2.07,2.67,3.375,7.5,141.5,3.89,6.49,153,23.5,1.92,1.86,50.4,1.29,722,89.7,4.17,137,1,51.8,281,4.66,0.969
WT7X128.5,37.8,8.19,1.18,16,1.89,2.49,3.1875,7.5,128.5,4.23,6.94,133,20.7,1.88,1.75,43.9,1.18,645,80.7,4.13,123,1,39.3,209,4.61,0.969
WT7X116.5,34.2,8.02,1.07,15.9,1.72,2.32,3,7.5,116.5,4.62,7.5,116,18.2,1.84,1.65,38.2,1.08,576,72.5,4.1,110,1,29.6,154,4.57,0.97
WT7X105.5,31,7.86,0.98,15.8,1.56,2.16,2.875,7.5,105.5,5.06,8.02,102,16.2,1.81,1.57,33.4,0.98,513,65,4.07,98.9,1,22.2,113,4.52,0.97
WT7X96.5,28.4,7.74,0.89,15.7,1.44,2.04,2.75,7.5,96.5,5.45,8.7,89.8,14.4,1.78,1.49,29.4,0.903,466,59.3,4.05,90.1,1,17.3,87.2,4.49,0.971
WT7X88,25.9,7.61,0.83,15.7,1.31,1.91,2.625,7.5,88,5.97,9.17,80.5,13,1.76,1.43,26.3,0.827,419,53.5,4.02,81.3,1,13.2,65.2,4.46,0.97
WT7X79.5,23.4,7.49,0.745,15.6,1.19,1.79,2.5,7.5,79.5,6.54,10.1,70.2,11.4,1.73,1.35,22.8,0.751,374,48.1,4,73,1,9.84,47.9,4.43,0.971
WT7X72.5,21.3,7.39,0.68,15.5,1.09,1.69,2.375,7.5,72.5,7.11,10.9,62.5,10.2,1.71,1.29,20.2,0.688,338,43.7,3.98,66.2,1,7.56,36.3,4.4,0.971
WT7X66,19.4,7.33,0.645,14.7,1.03,1.63,2.3125,5.5,66,7.15,11.4,57.8,9.57,1.73,1.29,18.6,0.658,274,37.2,3.76,56.5,1,6.13,26.6,4.21,0.966
WT7X60,17.7,7.24,0.59,14.7,0.94,1.54,2.25,5.5,60,7.8,12.3,51.7,8.61,1.71,1.24,16.5,0.602,247,33.7,3.74,51.2,1,4.67,20,4.19,0.966
WT7X54.5,16,7.16,0.525,14.6,0.86,1.46,2.1875,5.5,54.5,8.49,13.6,45.3,7.56,1.68,1.17,14.4,0.548,223,30.6,3.73,46.3,1,3.55,15,4.16,0.968
WT7X49.5,14.6,7.08,0.485,14.6,0.78,1.38,2.0625,5.5,49.5,9.34,14.6,40.9,6.88,1.67,1.14,12.9,0.5,201,27.6,3.71,41.8,1,2.68,11.1,4.14,0.967
WT7X45,13.2,7.01,0.44,14.5,0.71,1.31,2,5.5,45,10.2,15.9,36.5,6.16,1.66,1.09,11.5,0.456,181,25,3.7,37.8,1,2.03,8.31,4.12,0.968
WT7X41,12,7.16,0.51,10.1,0.855,1.45,1.6875,5.5,41,5.92,14,41.2,7.14,1.85,1.39,13.2,0.593,74.1,14.6,2.48,22.4,1,2.53,5.63,3.24,0.912
WT7X37,10.9,7.09,0.45,10.1,0.785,1.38,1.625,5.5,37,6.41,15.8,36,6.25,1.82,1.32,11.5,0.541,66.9,13.3,2.48,20.2,1,1.93,4.19,3.21,0.916
WT7X34,10,7.02,0.415,10,0.72,1.31,1.5625,5.5,34,6.97,16.9,32.6,5.69,1.81,1.29,10.4,0.498,60.7,12.1,2.46,18.4,1,1.5,3.21,3.19,0.916
WT7X30.5,8.96,6.95,0.375,10,0.645,1.24,1.5,5.5,30.5,7.75,18.5,28.9,5.07,1.8,1.25,9.15,0.448,53.7,10.7,2.45,16.4,0.971,1.09,2.29,3.17,0.915
WT7X26.5,7.8,6.96,0.37,8.06,0.66,1.25,1.5,5.5,26.5,6.11,18.8,27.6,4.94,1.88,1.38,8.87,0.484,28.8,7.15,1.92,11,0.956,0.967,1.46,2.89,0.868
WT7X24,7.07,6.9,0.34,8.03,0.595,1.19,1.4375,5.5,24,6.75,20.3,24.9,4.49,1.88,1.35,8,0.44,25.7,6.4,1.91,9.8,0.88,0.723,1.07,2.87,0.866
WT7X21.5,6.31,6.83,0.305,8,0.53,1.12,1.375,5.5,21.5,7.54,22.4,21.9,3.98,1.86,1.31,7.05,0.395,22.6,5.65,1.89,8.64,0.773,0.522,0.751,2.86,0.865
WT7X19,5.58,7.05,0.31,6.77,0.515,0.915,1.25,3.5,19,6.57,22.7,23.3,4.22,2.04,1.54,7.45,0.412,13.3,3.94,1.55,6.07,0.758,0.398,0.554,2.86,0.799
WT7X17,5,6.99,0.285,6.75,0.455,0.855,1.1875,3.5,17,7.41,24.5,20.9,3.83,2.04,1.53,6.74,0.371,11.6,3.45,1.53,5.32,0.667,0.284,0.4,2.87,0.792
WT7X15,4.42,6.92,0.27,6.73,0.385,0.785,1.125,3.5,15,8.74,25.6,19,3.55,2.07,1.58,6.25,0.329,9.79,2.91,1.49,4.49,0.611,0.19,0.287,2.9,0.772
WT7X13,3.85,6.96,0.255,5.03,0.42,0.82,1.125,2.75,13,5.98,27.3,17.3,3.31,2.12,1.72,5.89,0.383,4.45,1.77,1.08,2.76,0.537,0.179,0.207,2.82,0.712
WT7X11,3.25,6.87,0.23,5,0.335,0.735,1.0625,2.75,11,7.46,29.9,14.8,2.91,2.14,1.76,5.2,0.325,3.5,1.4,1.04,2.19,0.448,0.104,0.134,2.86,0.689
WT6X168,49.5,8.41,1.78,13.4,2.96,3.55,3.875,5.5,168,2.26,4.72,190,31.2,1.96,2.31,68.4,1.84,593,88.6,3.47,137,1,120,481,4.07,0.958
WT6X152.5,44.7,8.16,1.63,13.2,2.71,3.3,3.625,5.5,152.5,2.45,5.01,162,27,1.9,2.16,59.1,1.69,525,79.3,3.42,122,1,92,356,4,0.959
WT6X139.5,41,7.93,1.53,13.1,2.47,3.07,3.375,5.5,139.5,2.66,5.18,141,24.1,1.86,2.05,51.9,1.56,469,71.3,3.38,110,1,70.9,267,3.94,0.958
WT6X126,37.1,7.71,1.4,13,2.25,2.85,3.125,5.5,126,2.89,5.51,121,20.9,1.81,1.92,44.8,1.42,414,63.6,3.34,97.9,1,53.5,195,3.88,0.958
WT6X115,33.8,7.53,1.29,12.9,2.07,2.67,2.9375,5.5,115,3.11,5.84,106,18.5,1.77,1.82,39.4,1.31,371,57.5,3.31,88.4,1,41.6,148,3.83,0.958
WT6X105,30.9,7.36,1.18,12.8,1.9,2.5,2.8125,5.5,105,3.37,6.24,92.1,16.4,1.73,1.72,34.5,1.21,332,51.9,3.28,79.7,1,32.1,112,3.79,0.958
WT6X95,28,7.19,1.06,12.7,1.74,2.33,2.625,5.5,95,3.65,6.78,79,14.2,1.68,1.62,29.8,1.1,295,46.5,3.25,71.2,1,24.3,82.1,3.73,0.96
WT6X85,25,7.02,0.96,12.6,1.56,2.16,2.4375,5.5,85,4.03,7.31,67.8,12.3,1.65,1.52,25.6,0.994,259,41.2,3.22,62.9,1,17.7,58.3,3.69,0.96
WT6X76,22.4,6.86,0.87,12.5,1.4,2,2.3125,5.5,76,4.46,7.89,58.5,10.8,1.62,1.43,22,0.896,227,36.4,3.19,55.6,1,12.8,41.3,3.65,0.96
WT6X68,20,6.71,0.79,12.4,1.25,1.85,2.125,5.5,68,4.96,8.49,50.6,9.46,1.59,1.35,19,0.805,199,32.1,3.16,48.9,1,9.21,28.9,3.61,0.959
WT6X60,17.6,6.56,0.71,12.3,1.11,1.7,2,5.5,60,5.57,9.24,43.4,8.22,1.57,1.28,16.2,0.716,172,28,3.13,42.7,1,6.42,19.7,3.57,0.959
WT6X53,15.6,6.45,0.61,12.2,0.99,1.59,1.875,5.5,53,6.17,10.6,36.3,6.92,1.53,1.19,13.6,0.637,151,24.7,3.11,37.5,1,4.55,13.6,3.53,0.961
WT6X48,14.1,6.36,0.55,12.2,0.9,1.5,1.8125,5.5,48,6.76,11.6,32,6.12,1.51,1.13,11.9,0.58,135,22.2,3.09,33.7,1,3.42,10.1,3.51,0.962
WT6X43.5,12.8,6.27,0.515,12.1,0.81,1.41,1.6875,5.5,43.5,7.48,12.2,28.9,5.6,1.5,1.1,10.7,0.527,120,19.9,3.07,30.2,1,2.54,7.34,3.49,0.96
WT6X39.5,11.6,6.19,0.47,12.1,0.735,1.33,1.625,5.5,39.5,8.22,13.2,25.8,5.03,1.49,1.06,9.49,0.48,108,17.9,3.05,27.1,1,1.91,5.43,3.47,0.96
WT6X36,10.6,6.13,0.43,12,0.67,1.27,1.5625,5.5,36,8.99,14.3,23.2,4.54,1.48,1.02,8.48,0.439,97.5,16.2,3.04,24.6,1,1.46,4.07,3.45,0.96
WT6X32.5,9.54,6.06,0.39,12,0.605,1.2,1.5,5.5,32.5,9.92,15.5,20.6,4.06,1.47,0.985,7.5,0.398,87.2,14.5,3.02,22,1,1.09,2.97,3.43,0.96
WT6X29,8.52,6.1,0.36,10,0.64,1.24,1.5,5.5,29,7.82,16.9,19.1,3.76,1.5,1.03,6.97,0.426,53.5,10.7,2.51,16.2,1,1.05,2.08,3,0.944
WT6X26.5,7.78,6.03,0.345,10,0.575,1.18,1.375,5.5,26.5,8.69,17.5,17.7,3.54,1.51,1.02,6.46,0.389,47.9,9.58,2.48,14.5,1,0.788,1.53,3,0.939
WT6X25,7.3,6.1,0.37,8.08,0.64,1.14,1.5,5.5,25,6.31,16.5,18.7,3.79,1.6,1.17,6.88,0.452,28.2,6.97,1.96,10.6,1,0.855,1.23,2.67,0.899
WT6X22.5,6.56,6.03,0.335,8.05,0.575,1.08,1.375,5.5,22.5,7,18,16.6,3.39,1.59,1.13,6.1,0.408,25,6.21,1.95,9.47,0.998,0.627,0.885,2.66,0.898
WT6X20,5.84,5.97,0.295,8.01,0.515,1.02,1.375,5.5,20,7.77,20.2,14.4,2.95,1.57,1.09,5.28,0.365,22,5.5,1.94,8.38,0.885,0.452,0.62,2.63,0.901
WT6X17.5,5.17,6.25,0.3,6.56,0.52,0.82,1.1875,3.5,17.5,6.31,20.8,16,3.23,1.76,1.3,5.71,0.394,12.2,3.73,1.54,5.73,0.854,0.369,0.437,2.56,0.834
WT6X15,4.4,6.17,0.26,6.52,0.44,0.74,1.125,3.5,15,7.41,23.7,13.5,2.75,1.75,1.27,4.83,0.337,10.2,3.12,1.52,4.78,0.707,0.228,0.267,2.54,0.83
WT6X13,3.82,6.11,0.23,6.49,0.38,0.68,1.0625,3.5,13,8.54,26.6,11.7,2.4,1.75,1.25,4.2,0.295,8.66,2.67,1.51,4.08,0.566,0.15,0.174,2.54,0.827
WT6X11,3.24,6.16,0.26,4.03,0.425,0.725,0.9375,2.25,11,4.74,23.7,11.7,2.59,1.9,1.63,4.63,0.402,2.33,1.15,0.847,1.83,0.707,0.146,0.137,2.52,0.683
WT6X9.5,2.79,6.08,0.235,4.01,0.35,0.65,0.875,2.25,9.5,5.72,25.9,10.1,2.28,1.9,1.65,4.11,0.348,1.88,0.939,0.821,1.49,0.597,0.0899,0.0934,2.54,0.665
WT6X8,2.36,6,0.22,3.99,0.265,0.565,0.8125,2.25,8,7.53,27.3,8.7,2.04,1.92,1.74,3.72,0.639,1.41,0.706,0.773,1.13,0.537,0.0511,0.0678,2.62,0.624
WT6X7,2.08,5.96,0.2,3.97,0.225,0.525,0.75,2.25,7,8.82,29.8,7.67,1.83,1.92,1.76,3.32,0.76,1.18,0.593,0.753,0.947,0.451,0.035,0.0493,2.64,0.611
WT5X56,16.5,5.68,0.755,10.4,1.25,1.75,1.9375,5.5,56,4.17,7.52,28.6,6.4,1.32,1.21,13.4,0.791,118,22.6,2.67,34.6,1,7.5,16.9,3.04,0.963
WT5X50,14.7,5.55,0.68,10.3,1.12,1.62,1.8125,5.5,50,4.62,8.16,24.5,5.56,1.29,1.13,11.4,0.711,103,20,2.65,30.5,1,5.41,11.9,3,0.964
WT5X44,13,5.42,0.605,10.3,0.99,1.49,1.6875,5.5,44,5.18,8.96,20.8,4.77,1.27,1.06,9.65,0.631,89.3,17.4,2.63,26.5,1,3.75,8.02,2.97,0.964
WT5X38.5,11.3,5.3,0.53,10.2,0.87,1.37,1.5625,5.5,38.5,5.86,10,17.4,4.05,1.24,0.99,8.06,0.555,76.8,15.1,2.6,22.9,1,2.55,5.31,2.94,0.964
WT5X34,10,5.2,0.47,10.1,0.77,1.27,1.4375,5.5,34,6.58,11.1,14.9,3.49,1.22,0.932,6.85,0.493,66.7,13.2,2.58,20,1,1.78,3.62,2.91,0.965
WT5X30,8.84,5.11,0.42,10.1,0.68,1.18,1.375,5.5,30,7.41,12.2,12.9,3.04,1.21,0.884,5.87,0.438,58.1,11.5,2.57,17.5,1,1.23,2.46,2.89,0.964
WT5X27,7.9,5.05,0.37,10,0.615,1.12,1.3125,5.5,27,8.15,13.6,11.1,2.64,1.19,0.836,5.05,0.395,51.7,10.3,2.56,15.6,1,0.909,1.78,2.87,0.966
WT5X24.5,7.21,4.99,0.34,10,0.56,1.06,1.25,5.5,24.5,8.93,14.7,10,2.39,1.18,0.807,4.52,0.361,46.7,9.34,2.54,14.1,1,0.693,1.33,2.85,0.966
WT5X22.5,6.63,5.05,0.35,8.02,0.62,1.12,1.3125,5.5,22.5,6.47,14.4,10.2,2.47,1.24,0.907,4.65,0.413,26.7,6.65,2.01,10.1,1,0.753,0.981,2.43,0.94
WT5X19.5,5.73,4.96,0.315,7.99,0.53,1.03,1.1875,5.5,19.5,7.53,15.7,8.84,2.16,1.24,0.876,3.99,0.359,22.5,5.64,1.98,8.57,1,0.487,0.616,2.42,0.936
WT5X16.5,4.85,4.87,0.29,7.96,0.435,0.935,1.125,5.5,16.5,9.15,16.8,7.71,1.93,1.26,0.869,3.48,0.305,18.3,4.6,1.94,7,1,0.291,0.356,2.4,0.927
WT5X15,4.42,5.24,0.3,5.81,0.51,0.81,1.125,2.75,15,5.7,17.5,9.28,2.24,1.45,1.1,4.01,0.38,8.35,2.87,1.37,4.41,1,0.31,0.273,2.17,0.849
WT5X13,3.81,5.17,0.26,5.77,0.44,0.74,1.0625,2.75,13,6.56,19.9,7.86,1.91,1.44,1.06,3.39,0.33,7.05,2.44,1.36,3.75,0.9,0.201,0.173,2.15,0.848
WT5X11,3.24,5.09,0.24,5.75,0.36,0.66,0.9375,2.75,11,7.99,21.2,6.88,1.72,1.46,1.07,3.02,0.282,5.71,1.99,1.33,3.05,0.834,0.119,0.107,2.16,0.83
WT5X9.5,2.81,5.12,0.25,4.02,0.395,0.695,0.9375,2.25,9.5,5.09,20.5,6.68,1.74,1.54,1.28,3.1,0.349,2.15,1.07,0.874,1.67,0.87,0.116,0.0796,2.08,0.729
WT5X8.5,2.5,5.06,0.24,4.01,0.33,0.63,0.875,2.25,8.5,6.08,21.1,6.06,1.62,1.56,1.32,2.9,0.311,1.78,0.887,0.844,1.4,0.839,0.0776,0.061,2.11,0.703
WT5X7.5,2.21,5,0.23,4,0.27,0.57,0.8125,2.25,7.5,7.41,21.7,5.45,1.5,1.57,1.37,2.71,0.305,1.45,0.723,0.81,1.15,0.809,0.0518,0.0475,2.16,0.672
WT5X6,1.77,4.94,0.19,3.96,0.21,0.51,0.75,2.25,6,9.43,26,4.35,1.22,1.57,1.36,2.2,0.322,1.09,0.551,0.785,0.869,0.592,0.0272,0.0255,2.16,0.661
WT4X33.5,9.84,4.5,0.57,8.28,0.935,1.33,1.625,5.5,33.5,4.43,7.89,10.9,3.05,1.05,0.936,6.29,0.594,44.3,10.7,2.12,16.3,1,2.51,3.56,2.41,0.962
WT4X29,8.54,4.38,0.51,8.22,0.81,1.2,1.5,5.5,29,5.07,8.59,9.12,2.61,1.03,0.874,5.25,0.52,37.5,9.13,2.1,13.9,1,1.66,2.28,2.38,0.961
WT4X24,7.05,4.25,0.4,8.11,0.685,1.08,1.375,5.5,24,5.92,10.6,6.85,1.97,0.986,0.777,3.94,0.435,30.5,7.51,2.08,11.4,1,0.977,1.3,2.34,0.966
WT4X20,5.87,4.13,0.36,8.07,0.56,0.954,1.25,5.5,20,7.21,11.5,5.73,1.69,0.988,0.735,3.25,0.364,24.5,6.08,2.04,9.24,1,0.558,0.715,2.32,0.961
WT4X17.5,5.14,4.06,0.31,8.02,0.495,0.889,1.1875,5.5,17.5,8.1,13.1,4.82,1.43,0.968,0.688,2.71,0.321,21.3,5.31,2.03,8.05,1,0.384,0.48,2.3,0.963
WT4X15.5,4.56,4,0.285,8,0.435,0.829,1.125,5.5,15.5,9.19,14,4.28,1.28,0.969,0.668,2.39,0.285,18.5,4.64,2.02,7.03,1,0.267,0.327,2.28,0.961
WT4X14,4.12,4.03,0.285,6.54,0.465,0.859,0.9375,3.5,14,7.03,14.1,4.23,1.28,1.01,0.734,2.38,0.315,10.8,3.31,1.62,5.04,1,0.268,0.23,1.98,0.935
WT4X12,3.54,3.97,0.245,6.5,0.4,0.794,0.875,3.5,12,8.12,16.2,3.53,1.08,0.999,0.695,1.98,0.272,9.14,2.81,1.61,4.28,1,0.173,0.144,1.96,0.936
WT4X10.5,3.08,4.14,0.25,5.27,0.4,0.7,0.875,2.75,10.5,6.59,16.6,3.9,1.18,1.12,0.831,2.11,0.292,4.88,1.85,1.26,2.84,1,0.141,0.0916,1.8,0.877
WT4X9,2.63,4.07,0.23,5.25,0.33,0.63,0.8125,2.75,9,7.95,17.7,3.41,1.05,1.14,0.834,1.86,0.251,3.98,1.52,1.23,2.33,1,0.0855,0.0562,1.8,0.863
WT4X7.5,2.22,4.06,0.245,4.02,0.315,0.615,0.8125,2.25,7.5,6.37,16.6,3.28,1.07,1.22,0.998,1.91,0.276,1.7,0.849,0.876,1.33,1,0.0679,0.0382,1.72,0.76
WT4X6.5,1.92,4,0.23,4,0.255,0.555,0.75,2.25,6.5,7.84,17.4,2.89,0.974,1.23,1.03,1.74,0.24,1.36,0.682,0.843,1.07,1,0.0433,0.0269,1.74,0.733
WT4X5,1.48,3.95,0.17,3.94,0.205,0.505,0.6875,2.25,5,9.61,23.2,2.15,0.717,1.2,0.953,1.27,0.188,1.05,0.531,0.84,0.826,0.733,0.0212,0.0114,1.7,0.749
WT3X12.5,3.67,3.19,0.32,6.08,0.455,0.705,0.9375,3.5,12.5,6.68,10,2.29,0.886,0.789,0.61,1.68,0.302,8.53,2.81,1.52,4.28,1,0.229,0.171,1.76,0.953
WT3X10,2.94,3.1,0.26,6.02,0.365,0.615,0.875,3.5,10,8.25,11.9,1.76,0.693,0.774,0.56,1.29,0.244,6.64,2.21,1.5,3.36,1,0.12,0.0858,1.73,0.953
WT3X7.5,2.21,3,0.23,5.99,0.26,0.51,0.75,3.5,7.5,11.5,13,1.41,0.577,0.797,0.558,1.03,0.185,4.66,1.56,1.45,2.37,1,0.0504,0.0342,1.71,0.937
WT3X8,2.37,3.14,0.26,4.03,0.405,0.655,0.875,2.25,8,4.98,12.1,1.69,0.685,0.844,0.676,1.25,0.294,2.21,1.1,0.966,1.69,1,0.111,0.0426,1.37,0.88
WT3X6,1.78,3.02,0.23,4,0.28,0.53,0.75,2.25,6,7.14,13.1,1.32,0.564,0.862,0.677,1.01,0.222,1.5,0.748,0.918,1.16,1,0.0449,0.0178,1.37,0.846
WT3X4.5,1.34,2.95,0.17,3.94,0.215,0.465,0.6875,2.25,4.5,9.16,17.4,0.95,0.408,0.842,0.623,0.72,0.17,1.1,0.557,0.905,0.856,1,0.0202,0.00736,1.34,0.852
WT3X4.25,1.26,2.92,0.17,3.94,0.195,0.445,0.6875,2.25,4.25,10.1,17.2,0.905,0.397,0.848,0.637,0.7,0.16,0.995,0.505,0.89,0.778,1,0.0166,0.0062,1.34,0.839
WT2.5X9.5,2.78,2.58,0.27,5.03,0.43,0.73,0.8125,2.75,9.5,5.85,9.56,1.01,0.485,0.604,0.487,0.97,0.276,4.56,1.81,1.28,2.76,1,0.157,0.0775,1.44,0.964
WT2.5X8,2.35,2.51,0.24,5,0.36,0.66,0.75,2.75,8,6.94,10.5,0.845,0.413,0.599,0.458,0.801,0.235,3.75,1.5,1.26,2.28,1,0.0958,0.0453,1.43,0.962
WT2X6.5,1.91,2.08,0.28,4.06,0.345,0.595,0.75,2.25,6.5,5.88,7.43,0.526,0.321,0.524,0.44,0.616,0.236,1.93,0.95,1,1.46,1,0.075,0.0233,1.16,0.947
MT6.25X6.2,1.82,6.27,0.155,3.75,0.228,0.563,0.5625,---,6.2,8.22,40.4,7.29,1.61,2.01,1.74,2.92,0.372,1,0.536,0.746,0.839,0.341,0.0246,0.0284,2.69,0.634
MT6.25X5.8,1.7,6.25,0.155,3.5,0.211,0.563,0.5625,---,5.8,8.29,40.3,6.94,1.57,2.03,1.84,2.86,0.808,0.756,0.432,0.669,0.684,0.342,0.0206,0.0268,2.75,0.602
MT6X5.9,1.74,6,0.177,3.07,0.225,0.563,0.5625,---,5.9,6.82,33.9,6.61,1.61,1.96,1.89,2.89,1.13,0.543,0.354,0.561,0.575,0.484,0.0249,0.0337,2.71,0.567
MT6X5.4,1.59,5.99,0.16,3.07,0.21,0.563,0.5625,---,5.4,7.31,37.4,6.03,1.46,1.95,1.86,2.63,1.05,0.506,0.33,0.566,0.532,0.397,0.0196,0.025,2.69,0.574
MT6X5,1.48,5.99,0.149,3.25,0.18,0.5,0.5,---,5,9.03,40.2,5.62,1.36,1.96,1.86,2.45,1.08,0.517,0.318,0.594,0.509,0.344,0.0145,0.0202,2.71,0.572
MT5X4.5,1.33,5,0.157,2.69,0.206,0.563,0.5625,---,4.5,6.53,31.8,3.47,1,1.62,1.54,1.81,0.808,0.336,0.25,0.505,0.403,0.55,0.0156,0.0138,2.22,0.585
MT5X4,1.19,4.98,0.141,2.69,0.182,0.563,0.5625,---,4,7.39,35.3,3.08,0.894,1.62,1.52,1.61,0.809,0.296,0.22,0.502,0.354,0.446,0.0112,0.00989,2.22,0.583
MT5X3.75,1.11,5,0.13,2.69,0.173,0.438,0.4375,---,3.75,7.77,38.4,2.91,0.836,1.63,1.51,1.51,0.759,0.281,0.209,0.505,0.334,0.377,0.00932,0.00792,2.22,0.588
MT4X3.25,0.959,4,0.135,2.28,0.189,0.563,0.5625,---,3.25,6.03,29.6,1.57,0.558,1.29,1.18,1.01,0.472,0.188,0.165,0.444,0.264,0.634,0.00917,0.00463,1.74,0.612
MT4X3.1,0.911,4,0.129,2.28,0.177,0.438,0.4375,---,3.1,6.44,31,1.5,0.533,1.29,1.18,0.967,0.497,0.176,0.154,0.441,0.247,0.578,0.00778,0.00403,1.75,0.608
MT3X2.2,0.647,3,0.114,1.84,0.171,0.375,0.375,---,2.2,5.38,26.3,0.579,0.268,0.949,0.841,0.483,0.19,0.0897,0.0973,0.374,0.155,0.778,0.00494,0.00124,1.27,0.646
MT3X1.85,0.545,2.96,0.098,2,0.129,0.313,0.3125,---,1.85,7.75,30.2,0.483,0.226,0.945,0.827,0.409,0.174,0.0863,0.0863,0.4,0.136,0.609,0.00265,0.000754,1.28,0.644
MT2.5X9.45,2.78,2.5,0.316,5,0.416,0.813,0.8125,2.75,9.45,6.01,7.91,1.05,0.528,0.617,0.512,1.03,0.276,4.35,1.74,1.26,2.66,1,0.156,0.0732,1.43,0.955
