Shape,A,d,tw,bf,tf,k(des),k(det),gage,wt./ft.,bf/(2*tf),d/tw,Ix,Sx,rx,y(bar),Zx,yp,Iy,Sy,ry,Zy,Qs,J,Cw,ro(bar),H
WT15X163,48,16.2,1.14,15.4,2.05,2.84,2.9375,5.5,163,3.75,14.2,981,78.8,4.52,3.76,143,1.56,622,81,3.6,126,1,51.2,361,6.4,0.817
WT15X146,43,16,1.02,15.3,1.85,2.64,2.75,5.5,146,4.12,15.7,861,69.6,4.48,3.62,125,1.41,549,71.9,3.58,111,1,37.5,257,6.33,0.819
WT15X130.5,38.5,15.8,0.93,15.2,1.65,2.44,2.5625,5.5,130.5,4.59,17,765,62.4,4.46,3.54,112,1.27,480,63.3,3.53,97.9,1,26.9,184,6.3,0.815
WT15X117.5,34.7,15.7,0.83,15.1,1.5,2.29,2.375,5.5,117.5,5.02,18.9,674,55.1,4.41,3.41,98.2,1.15,427,56.8,3.51,87.5,0.951,20.1,133,6.24,0.818
WT15X105.5,31.1,15.5,0.775,15.1,1.32,2.1,2.25,5.5,105.5,5.74,20,610,50.5,4.43,3.39,89.5,1.03,378,50.1,3.49,77.2,0.895,14.1,96.4,6.27,0.809
WT15X95.5,28,15.3,0.71,15,1.19,1.97,2.0625,5.5,95.5,6.35,21.5,549,45.7,4.42,3.34,80.8,0.935,336,44.7,3.46,68.9,0.819,10.5,71.2,6.25,0.807
WT15X86.5,25.4,15.2,0.655,15,1.07,1.85,2,5.5,86.5,7.04,23.2,497,41.7,4.42,3.31,73.5,0.851,299,39.9,3.42,61.4,0.733,7.78,53,6.24,0.802
WT15X74,21.8,15.3,0.65,10.5,1.18,1.83,2.0625,5.5,74,4.44,23.5,466,40.6,4.63,3.84,72.2,1.04,114,21.7,2.28,33.9,0.718,7.24,37.6,6.1,0.716
WT15X66,19.5,15.2,0.615,10.5,1,1.65,1.875,5.5,66,5.27,24.7,421,37.4,4.66,3.9,66.8,0.921,98,18.6,2.25,29.2,0.657,4.85,28.5,6.19,0.698
WT15X62,18.2,15.1,0.585,10.5,0.93,1.58,1.8125,5.5,62,5.65,25.8,396,35.3,4.66,3.9,63.1,0.867,90.4,17.2,2.23,27,0.601,3.98,23.9,6.2,0.694
WT15X58,17.1,15,0.565,10.5,0.85,1.5,1.75,5.5,58,6.17,26.5,373,33.7,4.67,3.94,60.4,0.815,82.1,15.6,2.19,24.6,0.57,3.21,20.5,6.24,0.683
WT15X54,15.9,14.9,0.545,10.5,0.76,1.41,1.6875,5.5,54,6.89,27.3,349,32,4.69,4.01,57.7,0.757,73,13.9,2.15,21.9,0.537,2.49,17.3,6.31,0.668
WT15X49.5,14.5,14.8,0.52,10.5,0.67,1.32,1.5625,5.5,49.5,7.8,28.5,322,30,4.71,4.09,54.4,0.912,63.9,12.2,2.1,19.3,0.493,1.88,14.3,6.38,0.653
WT15X45,13.2,14.8,0.47,10.4,0.61,1.26,1.5,5.5,45,8.52,31.5,290,27.1,4.69,4.04,49,0.835,57.3,11,2.09,17.3,0.403,1.41,10.5,6.35,0.654
WT13.5X269.5,79.3,16.3,1.97,15.3,3.54,4.33,4.4375,5.5,269.5,2.15,8.3,1530,128,4.39,4.34,242,2.6,1060,138,3.65,218,1,247,1740,6.26,0.831
WT13.5X184,54.2,15.2,1.38,14.7,2.48,3.27,3.375,5.5,184,2.96,11,939,81.7,4.16,3.71,151,1.85,655,89.3,3.48,140,1,84.5,532,5.96,0.828
WT13.5X168,49.5,15,1.26,14.6,2.28,3.07,3.1875,5.5,168,3.19,11.9,839,73.4,4.12,3.58,135,1.7,587,80.8,3.45,126,1,65.4,401,5.9,0.829
WT13.5X153.5,45.2,14.8,1.16,14.4,2.09,2.88,3,5.5,153.5,3.46,12.8,753,66.4,4.08,3.47,121,1.56,527,72.9,3.41,113,1,50.5,304,5.85,0.828
WT13.5X140.5,41.5,14.6,1.06,14.4,1.93,2.72,2.8125,5.5,140.5,3.72,13.8,677,59.9,4.04,3.35,109,1.44,477,66.4,3.39,103,1,39.6,232,5.79,0.83
WT13.5X129,38.1,14.5,0.98,14.3,1.77,2.56,2.6875,5.5,129,4.03,14.8,613,54.7,4.02,3.27,98.9,1.33,430,60.2,3.36,93.3,1,30.7,178,5.76,0.828
WT13.5X117.5,34.7,14.3,0.91,14.2,1.61,2.4,2.5,5.5,117.5,4.41,15.7,556,50,4,3.2,89.9,1.22,384,54.2,3.33,83.8,1,23.4,135,5.73,0.825
WT13.5X108.5,32,14.2,0.83,14.1,1.5,2.29,2.375,5.5,108.5,4.71,17.1,502,45.2,3.96,3.1,81.1,1.13,352,49.9,3.32,77,1,18.8,105,5.68,0.828
WT13.5X97,28.6,14.1,0.75,14,1.34,2.13,2.25,5.5,97,5.24,18.8,444,40.3,3.94,3.02,71.8,1.02,309,44.1,3.29,67.8,0.956,13.5,74.3,5.64,0.827
WT13.5X89,26.3,13.9,0.725,14.1,1.19,1.98,2.0625,5.5,89,5.92,19.2,414,38.2,3.97,3.04,67.7,0.932,278,39.4,3.25,60.8,0.935,10,57.7,5.69,0.815
WT13.5X80.5,23.8,13.8,0.66,14,1.08,1.87,2,5.5,80.5,6.49,20.9,372,34.4,3.95,2.98,60.8,0.849,248,35.4,3.23,54.5,0.849,7.53,42.7,5.66,0.814
WT13.5X73,21.6,13.7,0.605,14,0.975,1.76,1.875,5.5,73,7.16,22.6,336,31.2,3.95,2.94,55,0.772,222,31.7,3.2,48.8,0.763,5.62,31.7,5.64,0.812
WT13.5X64.5,18.9,13.8,0.61,10,1.1,1.7,2,5.5,64.5,4.55,22.6,323,31,4.13,3.39,55.1,0.945,92.2,18.4,2.21,28.8,0.763,5.55,24,5.48,0.732
WT13.5X57,16.8,13.6,0.57,10.1,0.93,1.53,1.8125,5.5,57,5.41,23.9,289,28.3,4.15,3.42,50.4,0.832,79.3,15.8,2.18,24.6,0.697,3.65,17.5,5.54,0.716
WT13.5X51,15,13.5,0.515,10,0.83,1.43,1.75,5.5,51,6.03,26.2,258,25.3,4.14,3.37,45,0.75,69.6,13.9,2.15,21.7,0.583,2.63,12.6,5.53,0.713
WT13.5X47,13.8,13.5,0.49,10,0.745,1.34,1.625,5.5,47,6.7,27.6,239,23.8,4.16,3.41,42.4,0.692,62,12.4,2.12,19.4,0.525,2.01,10.2,5.57,0.702
WT13.5X42,12.4,13.4,0.46,10,0.64,1.24,1.5625,5.5,42,7.78,29.1,216,21.9,4.18,3.48,39.2,0.621,52.8,10.6,2.07,16.6,0.473,1.4,7.79,5.63,0.685
WT12X185,54.5,14,1.52,13.7,2.72,3.22,3.625,5.5,185,2.51,9.2,779,74.7,3.78,3.57,140,1.99,581,85.1,3.27,133,1,100,553,5.47,0.837
WT12X167.5,49.1,13.8,1.38,13.5,2.48,2.98,3.375,5.5,167.5,2.73,10,686,66.3,3.73,3.42,123,1.82,513,75.9,3.23,119,1,75.6,405,5.4,0.837
WT12X153,44.9,13.6,1.26,13.4,2.28,2.78,3.1875,5.5,153,2.94,10.8,611,59.4,3.69,3.29,110,1.67,460,68.6,3.2,107,1,58.4,305,5.34,0.837
WT12X139.5,41,13.4,1.16,13.3,2.09,2.59,3,5.5,139.5,3.18,11.6,546,53.6,3.65,3.18,98.8,1.54,412,61.9,3.17,96.3,1,45.1,230,5.28,0.837
WT12X125,36.8,13.2,1.04,13.2,1.89,2.39,2.8125,5.5,125,3.49,12.7,478,47.2,3.61,3.05,86.5,1.39,362,54.9,3.14,85.2,1,33.2,165,5.22,0.838
WT12X114.5,33.6,13,0.96,13.1,1.73,2.23,2.625,5.5,114.5,3.79,13.5,431,42.9,3.58,2.96,78.1,1.28,326,49.7,3.11,77,1,25.5,125,5.19,0.836
WT12X103.5,30.3,12.9,0.87,13,1.57,2.07,2.5,5.5,103.5,4.14,14.8,382,38.3,3.55,2.87,69.3,1.17,289,44.4,3.08,68.6,1,19.1,91.3,5.14,0.836
WT12X96,28.2,12.7,0.81,13,1.46,1.96,2.375,5.5,96,4.43,15.7,350,35.2,3.53,2.8,63.5,1.09,265,40.9,3.07,63.1,1,15.3,72.5,5.11,0.836
