Shape,A,d,tw,bf,tf,k(des),k(det),k1,T,gage,wt./ft.,bf/(2*tf),h/tw,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,rts,ho,J,Cw,Wno,Sw1,Qf,Qw
W30X173,50.9,30.4,0.655,15,1.07,1.85,2,1.125,26.5,5.5,173,7.04,40.8,8230,541,12.7,607,598,79.8,3.42,123,4.03,29.3,15.6,129000,110,441,113,301
W30X148,43.6,30.7,0.65,10.5,1.18,1.83,2.0625,1.125,26.5,5.5,148,4.44,41.6,6680,436,12.4,500,227,43.3,2.28,68,2.77,29.5,14.5,49400,77.5,240,85.8,248
W30X132,38.8,30.3,0.615,10.5,1,1.65,1.875,1.125,26.5,5.5,132,5.27,43.9,5770,380,12.2,437,196,37.2,2.25,58.4,2.75,29.3,9.72,42100,76.9,202,72.4,215
W30X124,36.5,30.2,0.585,10.5,0.93,1.58,1.8125,1.125,26.5,5.5,124,5.65,46.2,5360,355,12.1,408,181,34.4,2.23,54,2.73,29.3,7.99,38600,76.8,188,67.5,202
W30X116,34.2,30,0.565,10.5,0.85,1.5,1.75,1.125,26.5,5.5,116,6.17,47.8,4930,329,12,378,164,31.3,2.19,49.2,2.7,29.2,6.43,34900,76.5,171,61.5,187
W30X108,31.7,29.8,0.545,10.5,0.76,1.41,1.6875,1.125,26.5,5.5,108,6.89,49.6,4470,299,11.9,346,146,27.9,2.15,43.9,2.67,29,4.99,30900,76.2,152,54.9,170
W30X99,29,29.7,0.52,10.5,0.67,1.32,1.5625,1.0625,26.5,5.5,99,7.8,51.9,3990,269,11.7,312,128,24.5,2.1,38.6,2.62,29,3.77,26800,76.2,134,48.5,154
W30X90,26.3,29.5,0.47,10.4,0.61,1.26,1.5,1.0625,26.5,5.5,90,8.52,57.5,3610,245,11.7,283,115,22.1,2.09,34.7,2.6,28.9,2.84,24000,75.1,119,43.7,139
W27X539,159,32.5,1.97,15.3,3.54,4.33,4.4375,1.8125,23.625,5.5,539,2.15,12.1,25600,1570,12.7,1890,2110,277,3.65,437,4.41,29,496,443000,111,1500,342,943
W27X368,109,30.4,1.38,14.7,2.48,3.27,3.375,1.5,23.625,5.5,368,2.96,17.3,16200,1060,12.2,1240,1310,179,3.48,279,4.15,27.9,170,255000,103,935,231,621
W27X336,99.2,30,1.26,14.6,2.28,3.07,3.1875,1.4375,23.625,5.5,336,3.19,18.9,14600,972,12.1,1130,1180,162,3.45,252,4.1,27.7,131,226000,101,842,211,563
W27X307,90.2,29.6,1.16,14.4,2.09,2.88,3,1.4375,23.625,5.5,307,3.46,20.6,13100,887,12,1030,1050,146,3.41,227,4.04,27.5,101,199000,99,745,190,508
W27X281,83.1,29.3,1.06,14.4,1.93,2.72,2.8125,1.375,23.625,5.5,281,3.72,22.5,11900,814,12,936,953,133,3.39,206,4,27.4,79.5,178000,98.5,685,176,466
W27X258,76.1,29,0.98,14.3,1.77,2.56,2.6875,1.3125,23.625,5.5,258,4.03,24.4,10800,745,11.9,852,859,120,3.36,187,3.96,27.2,61.6,159000,97.3,616,160,424
W27X235,69.4,28.7,0.91,14.2,1.61,2.4,2.5,1.3125,23.625,5.5,235,4.41,26.2,9700,677,11.8,772,769,108,3.33,168,3.92,27.1,47,141000,96.2,550,145,384
W27X217,63.9,28.4,0.83,14.1,1.5,2.29,2.375,1.25,23.625,5.5,217,4.71,28.7,8910,627,11.8,711,704,100,3.32,154,3.89,26.9,37.6,128000,94.8,501,134,351
W27X194,57.1,28.1,0.75,14,1.34,2.13,2.25,1.1875,23.625,5.5,194,5.24,31.8,7860,559,11.7,631,619,88.1,3.29,136,3.85,26.8,27.1,111000,93.7,439,119,312
W27X178,52.5,27.8,0.725,14.1,1.19,1.98,2.0625,1.1875,23.625,5.5,178,5.92,32.9,7020,505,11.6,570,555,78.8,3.25,122,3.83,26.6,20.1,98400,93.8,393,106,282
W27X161,47.6,27.6,0.66,14,1.08,1.87,2,1.1875,23.625,5.5,161,6.49,36.1,6310,458,11.5,515,497,70.9,3.23,109,3.79,26.5,15.1,87300,92.8,351,95.5,254
W27X146,43.2,27.4,0.605,14,0.975,1.76,1.875,1.125,23.625,5.5,146,7.16,39.4,5660,414,11.5,464,443,63.5,3.2,97.7,3.76,26.4,11.3,77200,92.5,316,86.3,229
W27X129,37.8,27.6,0.61,10,1.1,1.7,2,1.125,23.625,5.5,129,4.55,39.7,4760,345,11.2,395,184,36.8,2.21,57.6,2.66,26.5,11.1,32500,66.3,182,68.4,195
W27X114,33.6,27.3,0.57,10.1,0.93,1.53,1.8125,1.125,23.625,5.5,114,5.41,42.5,4080,299,11,343,159,31.5,2.18,49.3,2.65,26.4,7.33,27600,66.6,156,58.4,170
W27X102,30,27.1,0.515,10,0.83,1.43,1.75,1.0625,23.625,5.5,102,6.03,47.1,3620,267,11,305,139,27.8,2.15,43.4,2.62,26.3,5.28,24000,65.7,136,51.7,151
W27X94,27.6,26.9,0.49,10,0.745,1.34,1.625,1.0625,23.625,5.5,94,6.7,49.5,3270,243,10.9,278,124,24.8,2.12,38.8,2.59,26.2,4.03,21300,65.4,122,46.3,137
W27X84,24.7,26.7,0.46,10,0.64,1.24,1.5625,1.0625,23.625,5.5,84,7.78,52.7,2850,213,10.7,244,106,21.2,2.07,33.2,2.54,26.1,2.81,17900,65.2,104,39.8,121
W24X370,109,28,1.52,13.7,2.72,3.22,3.625,1.5625,20.75,5.5,370,2.51,14.2,13400,957,11.1,1130,1160,170,3.27,267,3.92,25.3,201,186000,86.6,807,209,568
W24X335,98.3,27.5,1.38,13.5,2.48,2.98,3.375,1.5,20.75,5.5,335,2.73,15.6,11900,864,11,1020,1030,152,3.23,238,3.86,25,152,161000,84.4,707,188,506
W24X306,89.7,27.1,1.26,13.4,2.28,2.78,3.1875,1.4375,20.75,5.5,306,2.94,17.1,10700,789,10.9,922,919,137,3.2,214,3.81,24.8,117,142000,83.1,635,172,459
W24X279,81.9,26.7,1.16,13.3,2.09,2.59,3,1.4375,20.75,5.5,279,3.18,18.6,9600,718,10.8,835,823,124,3.17,193,3.76,24.6,90.5,125000,81.8,569,156,416
W24X250,73.5,26.3,1.04,13.2,1.89,2.39,2.8125,1.375,20.75,5.5,250,3.49,20.7,8490,644,10.7,744,724,110,3.14,171,3.71,24.4,66.6,108000,80.6,502,140,370
W24X229,67.2,26,0.96,13.1,1.73,2.23,2.625,1.3125,20.75,5.5,229,3.79,22.5,7650,588,10.7,675,651,99.4,3.11,154,3.67,24.3,51.3,96100,79.5,450,127,336
W24X207,60.7,25.7,0.87,13,1.57,2.07,2.5,1.25,20.75,5.5,207,4.14,24.8,6820,531,10.6,606,578,88.8,3.08,137,3.62,24.1,38.3,84100,78.4,400,115,302
W24X192,56.5,25.5,0.81,13,1.46,1.96,2.375,1.25,20.75,5.5,192,4.43,26.6,6260,491,10.5,559,530,81.8,3.07,126,3.6,24,30.8,76300,78.1,371,107,280
W24X176,51.7,25.2,0.75,12.9,1.34,1.84,2.25,1.1875,20.75,5.5,176,4.81,28.7,5680,450,10.5,511,479,74.3,3.04,115,3.57,23.9,23.9,68400,76.9,333,97.1,254
W24X162,47.8,25,0.705,13,1.22,1.72,2.125,1.1875,20.75,5.5,162,5.31,30.6,5170,414,10.4,468,443,68.4,3.05,105,3.57,23.8,18.5,62600,77.3,306,89.2,233
W24X146,43,24.7,0.65,12.9,1.09,1.59,2,1.125,20.75,5.5,146,5.92,33.2,4580,371,10.3,418,391,60.5,3.01,93.2,3.53,23.6,13.4,54600,76.1,268,78.8,207
W24X131,38.6,24.5,0.605,12.9,0.96,1.46,1.875,1.125,20.75,5.5,131,6.7,35.6,4020,329,10.2,370,340,53,2.97,81.5,3.49,23.5,9.5,47100,75.9,235,69.5,184
W24X117,34.4,24.3,0.55,12.8,0.85,1.35,1.75,1.125,20.75,5.5,117,7.53,39.2,3540,291,10.1,327,297,46.5,2.94,71.4,3.46,23.5,6.72,40800,75,204,61,163
W24X104,30.7,24.1,0.5,12.8,0.75,1.25,1.625,1.0625,20.75,5.5,104,8.5,43.1,3100,258,10.1,289,259,40.7,2.91,62.4,3.42,23.4,4.72,35200,74.7,179,53.9,144
W24X103,30.3,24.5,0.55,9,0.98,1.48,1.875,1.125,20.75,5.5,103,4.59,39.2,3000,245,10,280,119,26.5,1.99,41.5,2.4,23.5,7.07,16600,52.9,117,48.7,139
W24X94,27.7,24.3,0.515,9.07,0.875,1.38,1.75,1.0625,20.75,5.5,94,5.18,41.9,2700,222,9.87,254,109,24,1.98,37.5,2.4,23.4,5.26,15000,53.1,105,43.8,126
W24X84,24.7,24.1,0.47,9.02,0.77,1.27,1.6875,1.0625,20.75,5.5,84,5.86,45.9,2370,196,9.79,224,94.4,20.9,1.95,32.6,2.37,23.3,3.7,12800,52.6,91.3,38.4,111
W24X76,22.4,23.9,0.44,8.99,0.68,1.18,1.5625,1.0625,20.75,5.5,76,6.61,49,2100,176,9.69,200,82.5,18.4,1.92,28.6,2.33,23.2,2.68,11100,52.2,79.8,33.8,98.9
W24X68,20.1,23.7,0.415,8.97,0.585,1.09,1.5,1.0625,20.75,5.5,68,7.66,52,1830,154,9.55,177,70.4,15.7,1.87,24.5,2.3,23.1,1.87,9430,51.8,68,28.9,87
W24X62,18.2,23.7,0.43,7.04,0.59,1.09,1.5,1.0625,20.75,3.5,62,5.97,50.1,1550,131,9.23,153,34.5,9.8,1.38,15.7,1.75,23.1,1.71,4620,40.7,42.2,22.5,75.3
W24X55,16.2,23.6,0.395,7.01,0.505,1.01,1.4375,1,20.75,3.5,55,6.94,54.6,1350,114,9.11,134,29.1,8.3,1.34,13.3,1.72,23.1,1.18,3870,40.5,35.8,19.3,66.1
W21X201,59.3,23,0.91,12.6,1.63,2.13,2.5,1.3125,18,5.5,201,3.86,20.6,5310,461,9.47,530,542,86.1,3.02,133,3.55,21.4,40.9,62000,67.3,346,102,264
W21X182,53.6,22.7,0.83,12.5,1.48,1.98,2.375,1.25,18,5.5,182,4.22,22.6,4730,417,9.4,476,483,77.2,3,119,3.51,21.2,30.7,54400,66.3,307,91.6,237
W21X166,48.8,22.5,0.75,12.4,1.36,1.86,2.25,1.1875,18,5.5,166,4.57,25,4280,380,9.36,432,435,70,2.99,108,3.48,21.1,23.6,48500,65.5,276,83.7,215
W21X147,43.2,22.1,0.72,12.5,1.15,1.65,2,1.1875,18,5.5,147,5.44,26.1,3630,329,9.17,373,376,60.1,2.95,92.6,3.46,21,15.4,41100,65.5,235,71,186
W21X132,38.8,21.8,0.65,12.4,1.04,1.54,1.9375,1.125,18,5.5,132,6.01,28.9,3220,295,9.12,333,333,53.5,2.93,82.3,3.43,20.8,11.3,36000,64.4,206,62.8,164
W21X122,35.9,21.7,0.6,12.4,0.96,1.46,1.8125,1.125,18,5.5,122,6.45,31.3,2960,273,9.09,307,305,49.2,2.92,75.6,3.4,20.7,8.98,32700,64.3,191,58.7,153
W21X111,32.6,21.5,0.55,12.3,0.875,1.38,1.75,1.125,18,5.5,111,7.05,34.1,2670,249,9.05,279,274,44.5,2.9,68.2,3.37,20.6,6.83,29200,63.4,171,53,138
W21X101,29.8,21.4,0.5,12.3,0.8,1.3,1.6875,1.0625,18,5.5,101,7.68,37.5,2420,227,9.02,253,248,40.3,2.89,61.7,3.35,20.6,5.21,26200,63.3,156,48.6,126
W21X93,27.3,21.6,0.58,8.42,0.93,1.43,1.625,0.9375,18.375,5.5,93,4.53,32.3,2070,192,8.7,221,92.9,22.1,1.84,34.7,2.24,20.7,6.03,9940,43.5,85.2,37.7,109
W21X83,24.4,21.4,0.515,8.36,0.835,1.34,1.5,0.875,18.375,5.5,83,5,36.4,1830,171,8.67,196,81.4,19.5,1.83,30.5,2.21,20.6,4.34,8630,43,75,33.7,96.8
W21X73,21.5,21.2,0.455,8.3,0.74,1.24,1.4375,0.875,18.375,5.5,73,5.6,41.2,1600,151,8.64,172,70.6,17,1.81,26.6,2.19,20.5,3.02,7410,42.5,65.2,29.7,85
W21X68,20,21.1,0.43,8.27,0.685,1.19,1.375,0.875,18.375,5.5,68,6.04,43.6,1480,140,8.6,160,64.7,15.7,1.8,24.4,2.17,20.4,2.45,6760,42.2,59.8,27.4,78.7
W21X62,18.3,21,0.4,8.24,0.615,1.12,1.3125,0.8125,18.375,5.5,62,6.7,46.9,1330,127,8.54,144,57.5,14,1.77,21.7,2.15,20.4,1.83,5960,42,53.2,24.6,71.2
W21X55,16.2,20.8,0.375,8.22,0.522,1.02,1.1875,0.8125,18.375,5.5,55,7.87,50,1140,110,8.4,126,48.4,11.8,1.73,18.4,2.11,20.28,1.24,4980,41.7,44.7,20.8,61.8
W21X48,14.1,20.6,0.35,8.14,0.43,0.93,1.125,0.8125,18.375,5.5,48,9.47,53.6,959,93,8.24,107,38.7,9.52,1.66,14.9,2.05,20.2,0.803,3950,41,35.9,16.9,52.3
W21X57,16.7,21.1,0.405,6.56,0.65,1.15,1.3125,0.8125,18.375,3.5,57,5.04,46.3,1170,111,8.36,129,30.6,9.35,1.35,14.8,1.68,20.5,1.77,3190,33.5,35.8,20.5,63.4
W21X50,14.7,20.8,0.38,6.53,0.535,1.04,1.25,0.8125,18.375,3.5,50,6.1,49.4,984,94.5,8.18,110,24.9,7.64,1.3,12.2,1.64,20.3,1.14,2570,33.1,28.9,16.7,53.9
W21X44,13,20.7,0.35,6.5,0.45,0.95,1.125,0.8125,18.375,3.5,44,7.22,53.6,843,81.6,8.06,95.4,20.7,6.37,1.26,10.2,1.6,20.3,0.77,2110,32.9,24.1,14,46.8
W18X311,91.6,22.3,1.52,12,2.74,3.24,3.4375,1.375,15.5,5.5,311,2.19,10.4,6970,624,8.72,754,795,132,2.95,207,3.53,19.6,176,76200,58.7,482,140,375
W18X283,83.3,21.9,1.4,11.9,2.5,3,3.1875,1.3125,15.5,5.5,283,2.38,11.3,6170,565,8.61,676,704,118,2.91,185,3.47,19.4,134,65900,57.7,429,127,339
W18X258,76,21.5,1.28,11.8,2.3,2.7,3,1.25,15.5,5.5,258,2.56,12.5,5510,514,8.53,611,628,107,2.88,166,3.42,19.2,103,57600,56.6,384,116,306
W18X234,68.6,21.1,1.16,11.7,2.11,2.51,2.75,1.1875,15.5,5.5,234,2.76,13.8,4900,466,8.44,549,558,95.8,2.85,149,3.37,19,78.7,50100,55.5,343,106,276
W18X211,62.3,20.7,1.06,11.6,1.91,2.31,2.5625,1.1875,15.5,5.5,211,3.02,15.1,4330,419,8.35,490,493,85.3,2.82,132,3.32,18.8,58.6,43400,54.5,302,94.6,246
W18X192,56.2,20.4,0.96,11.5,1.75,2.15,2.4375,1.125,15.5,5.5,192,3.27,16.7,3870,380,8.28,442,440,76.8,2.79,119,3.28,18.7,44.7,38000,53.6,270,86,222
W18X175,51.4,20,0.89,11.4,1.59,1.99,2.4375,1.25,15.125,5.5,175,3.58,18,3450,344,8.2,398,391,68.8,2.76,106,3.24,18.4,33.8,33300,52.5,238,76.9,198
W18X158,46.3,19.7,0.81,11.3,1.44,1.84,2.375,1.25,15.125,5.5,158,3.92,19.8,3060,310,8.12,356,347,61.4,2.74,94.8,3.2,18.3,25.2,29000,51.6,210,69,177
W18X143,42,19.5,0.73,11.2,1.32,1.72,2.1875,1.1875,15.125,5.5,143,4.25,22,2750,282,8.09,322,311,55.5,2.72,85.4,3.17,18.2,19.2,25700,50.9,188,62.8,160
W18X130,38.3,19.3,0.67,11.2,1.2,1.6,2.0625,1.1875,15.125,5.5,130,4.65,23.9,2460,256,8.03,290,278,49.9,2.7,76.7,3.13,18.1,14.5,22700,50.7,170,57.2,146
W18X119,35.1,19,0.655,11.3,1.06,1.46,1.9375,1.1875,15.125,5.5,119,5.31,24.5,2190,231,7.9,262,253,44.9,2.69,69.1,3.13,17.9,10.6,20300,50.7,152,50.6,131
W18X106,31.1,18.7,0.59,11.2,0.94,1.34,1.8125,1.125,15.125,5.5,106,5.96,27.2,1910,204,7.84,230,220,39.4,2.66,60.5,3.1,17.8,7.48,17400,49.7,131,44.3,114
W18X97,28.5,18.6,0.535,11.1,0.87,1.27,1.75,1.125,15.125,5.5,97,6.41,30,1750,188,7.82,211,201,36.1,2.65,55.3,3.08,17.7,5.86,15800,49.2,119,40.7,105
W18X86,25.3,18.4,0.48,11.1,0.77,1.17,1.625,1.0625,15.125,5.5,86,7.2,33.4,1530,166,7.77,186,175,31.6,2.63,48.4,3.05,17.6,4.1,13600,48.9,105,36,92.4
W18X76,22.3,18.2,0.425,11,0.68,1.08,1.5625,1.0625,15.125,5.5,76,8.11,37.8,1330,146,7.73,163,152,27.6,2.61,42.2,3.02,17.5,2.83,11700,48.2,90.1,31.5,80.6
W18X71,20.9,18.5,0.495,7.64,0.81,1.21,1.5,0.875,15.5,3.5,71,4.71,32.4,1170,127,7.5,146,60.3,15.8,1.7,24.7,2.05,17.7,3.49,4700,33.8,52.3,25.6,72.4
W18X65,19.1,18.4,0.45,7.59,0.75,1.15,1.4375,0.875,15.5,3.5,65,5.06,35.7,1070,117,7.49,133,54.8,14.4,1.69,22.5,2.03,17.7,2.73,4240,33.5,47.7,23.6,66.3
W18X60,17.6,18.2,0.415,7.56,0.695,1.1,1.375,0.8125,15.5,3.5,60,5.44,38.7,984,108,7.47,123,50.1,13.3,1.68,20.6,2.02,17.5,2.17,3850,33.1,43.5,21.7,60.6
W18X55,16.2,18.1,0.39,7.53,0.63,1.03,1.3125,0.8125,15.5,3.5,55,5.98,41.1,890,98.3,7.41,112,44.9,11.9,1.67,18.5,2,17.5,1.66,3430,32.9,39,19.6,55.3
W18X50,14.7,18,0.355,7.5,0.57,0.972,1.25,0.8125,15.5,3.5,50,6.57,45.2,800,88.9,7.38,101,40.1,10.7,1.65,16.6,1.98,17.4,1.24,3040,32.7,34.9,17.7,49.9
W18X46,13.5,18.1,0.36,6.06,0.605,1.01,1.25,0.8125,15.5,3.5,46,5.01,44.6,712,78.8,7.25,90.7,22.5,7.43,1.29,11.7,1.58,17.5,1.22,1720,26.5,24.3,15.1,44.9
W18X40,11.8,17.9,0.315,6.02,0.525,0.927,1.1875,0.8125,15.5,3.5,40,5.73,50.9,612,68.4,7.21,78.4,19.1,6.35,1.27,10,1.56,17.4,0.81,1440,26.1,20.7,13,38.6
W18X35,10.3,17.7,0.3,6,0.425,0.827,1.125,0.75,15.5,3.5,35,7.06,53.5,510,57.6,7.04,66.5,15.3,5.12,1.22,8.06,1.51,17.3,0.506,1140,25.9,16.5,10.5,32.7
W16X100,29.4,17,0.585,10.4,0.985,1.39,1.875,1.125,13.25,5.5,100,5.29,24.3,1490,175,7.1,198,186,35.7,2.51,54.9,2.92,16,7.73,11900,41.6,107,38.7,98.5
W16X89,26.2,16.8,0.525,10.4,0.875,1.28,1.75,1.0625,13.25,5.5,89,5.92,27,1300,155,7.05,175,163,31.4,2.49,48.1,2.88,15.9,5.45,10200,41.4,94.2,34.4,87.3
W16X77,22.6,16.5,0.455,10.3,0.76,1.16,1.625,1.0625,13.25,5.5,77,6.77,31.2,1110,134,7,150,138,26.9,2.47,41.1,2.85,15.7,3.57,8590,40.5,79.3,29.4,74.4
W16X67,19.6,16.3,0.395,10.2,0.665,1.07,1.5625,1,13.25,5.5,67,7.7,35.9,954,117,6.96,130,119,23.2,2.46,35.5,2.82,15.6,2.39,7300,39.9,67.6,25.5,64.1
W16X57,16.8,16.4,0.43,7.12,0.715,1.12,1.375,0.875,13.625,3.5,57,4.98,33,758,92.2,6.72,105,43.1,12.1,1.6,18.9,1.92,15.7,2.22,2660,27.9,35.5,18.8,52
W16X50,14.7,16.3,0.38,7.07,0.63,1.03,1.3125,0.8125,13.625,3.5,50,5.61,37.4,659,81,6.68,92,37.2,10.5,1.59,16.3,1.89,15.7,1.52,2270,27.7,30.8,16.5,45.6
W16X45,13.3,16.1,0.345,7.04,0.565,0.967,1.25,0.8125,13.625,3.5,45,6.23,41.1,586,72.7,6.65,82.3,32.8,9.34,1.57,14.5,1.87,15.5,1.11,1990,27.3,27.2,14.7,40.6
W16X40,11.8,16,0.305,7,0.505,0.907,1.1875,0.8125,13.625,3.5,40,6.93,46.5,518,64.7,6.63,73,28.9,8.25,1.57,12.7,1.86,15.5,0.794,1730,27.1,24,13.1,36
W16X36,10.6,15.9,0.295,6.99,0.43,0.832,1.125,0.75,13.625,3.5,36,8.12,48.1,448,56.5,6.51,64,24.5,7,1.52,10.8,1.83,15.5,0.545,1460,27,20.3,11.1,31.6
W16X31,9.13,15.9,0.275,5.53,0.44,0.842,1.125,0.75,13.625,3.5,31,6.28,51.6,375,47.2,6.41,54,12.4,4.49,1.17,7.03,1.42,15.5,0.461,739,21.4,13,8.94,26.6
W16X26,7.68,15.7,0.25,5.5,0.345,0.747,1.0625,0.75,13.625,3.5,26,7.97,56.8,301,38.4,6.26,44.2,9.59,3.49,1.12,5.48,1.38,15.4,0.262,565,21.1,10,6.95,21.6
W14X730,215,22.4,3.07,17.9,4.91,5.51,6.1875,2.75,10,(3) 7.5 (3),730,1.82,3.71,14300,1280,8.17,1660,4720,527,4.69,816,5.68,17.5,1450,362000,78.3,1720,318,829
W14X665,196,21.6,2.83,17.7,4.52,5.12,5.8125,2.625,10,(3) 7.5 (3),665,1.95,4.03,12400,1150,7.98,1480,4170,472,4.62,730,5.57,17.1,1120,305000,75.6,1510,287,739
W14X605,178,20.9,2.6,17.4,4.16,4.76,5.4375,2.5,10,(3) 7.5 (3),605,2.09,4.39,10800,1040,7.8,1320,3680,423,4.55,652,5.44,16.7,869,258000,72.8,1320,258,657
W14X550,162,20.2,2.38,17.2,3.82,4.42,5.125,2.375,10,(3) 7.5 (3),550,2.25,4.79,9430,931,7.63,1180,3250,378,4.49,583,5.35,16.4,669,219000,70.4,1160,232,585
W14X500,147,19.6,2.19,17,3.5,4.1,4.8125,2.3125,10,(3) 7.5 (3),500,2.43,5.21,8210,838,7.48,1050,2880,339,4.43,522,5.26,16.1,514,187000,68.4,1020,209,522
W14X455,134,19,2.02,16.8,3.21,3.81,4.5,2.25,10,(3) 7.5 (3),455,2.62,5.66,7190,756,7.33,936,2560,304,4.38,468,5.17,15.8,395,160000,66.3,894,187,466
W14X426,125,18.7,1.88,16.7,3.04,3.63,4.3125,2.125,10,(3) 7.5 (3),426,2.75,6.08,6600,706,7.26,869,2360,283,4.34,434,5.11,15.7,331,144000,65.4,830,176,435
W14X398,117,18.3,1.77,16.6,2.85,3.44,4.125,2.125,10,(3) 7.5 (3),398,2.92,6.44,6000,656,7.16,801,2170,262,4.31,402,5.05,15.5,273,129000,64.1,758,163,401
W14X370,109,17.9,1.66,16.5,2.66,3.26,3.9375,2.0625,10,(3) 7.5 (3),370,3.1,6.89,5440,607,7.07,736,1990,241,4.27,370,5,15.2,222,116000,62.9,690,150,367
W14X342,101,17.5,1.54,16.4,2.47,3.07,3.75,2,10,(3) 7.5 (3),342,3.31,7.41,4900,558,6.98,672,1810,221,4.24,338,4.95,15,178,103000,61.6,624,138,335
W14X311,91.4,17.1,1.41,16.2,2.26,2.86,3.5625,1.9375,10,(3) 7.5 (3),311,3.59,8.09,4330,506,6.88,603,1610,199,4.2,304,4.87,14.8,136,89100,60.1,550,124,300
W14X283,83.3,16.7,1.29,16.1,2.07,2.67,3.375,1.875,10,(3) 7.5 (3),283,3.89,8.84,3840,459,6.79,542,1440,179,4.17,274,4.8,14.6,104,77700,58.9,491,112,269
W14X257,75.6,16.4,1.18,16,1.89,2.49,3.1875,1.8125,10,(3) 7.5 (3),257,4.23,9.71,3400,415,6.71,487,1290,161,4.13,246,4.75,14.5,79.1,67800,58,439,102,243
W14X233,68.5,16,1.07,15.9,1.72,2.32,3,1.75,10,(3) 7.5 (3),233,4.62,10.7,3010,375,6.63,436,1150,145,4.1,221,4.69,14.3,59.5,59000,56.8,388,91.1,216
W14X211,62,15.7,0.98,15.8,1.56,2.16,2.875,1.6875,10,(3) 7.5 (3),211,5.06,11.6,2660,338,6.55,390,1030,130,4.07,198,4.64,14.1,44.6,51500,55.9,344,81.7,194
W14X193,56.8,15.5,0.89,15.7,1.44,2.04,2.75,1.6875,10,(3) 7.5 (3),193,5.45,12.8,2400,310,6.5,355,931,119,4.05,180,4.59,14.1,34.8,45900,55.2,312,75,177
W14X176,51.8,15.2,0.83,15.7,1.31,1.91,2.625,1.625,10,(3) 7.5 (3),176,5.97,13.7,2140,281,6.43,320,838,107,4.02,163,4.55,13.9,26.5,40500,54.5,280,67.6,159
W14X159,46.7,15,0.745,15.6,1.19,1.79,2.5,1.5625,10,(3) 7.5 (3),159,6.54,15.3,1900,254,6.38,287,748,96.2,4,146,4.51,13.8,19.7,35600,53.9,250,61,143
W14X145,42.7,14.8,0.68,15.5,1.09,1.69,2.375,1.5625,10,(3) 7.5 (3),145,7.11,16.8,1710,232,6.33,260,677,87.3,3.98,133,4.47,13.7,15.2,31700,53.1,224,55.4,129
W14X132,38.8,14.7,0.645,14.7,1.03,1.63,2.3125,1.5625,10,5.5,132,7.15,17.7,1530,209,6.28,234,548,74.5,3.76,113,4.23,13.7,12.3,25500,50.2,190,49.5,116
W14X120,35.3,14.5,0.59,14.7,0.94,1.54,2.25,1.5,10,5.5,120,7.8,19.3,1380,190,6.24,212,495,67.5,3.74,102,4.2,13.6,9.37,22700,49.8,172,45,105
W14X109,32,14.3,0.525,14.6,0.86,1.46,2.1875,1.5,10,5.5,109,8.49,21.7,1240,173,6.22,192,447,61.2,3.73,92.7,4.17,13.4,7.12,20200,49.1,154,40.7,94.8
W14X99,29.1,14.2,0.485,14.6,0.78,1.38,2.0625,1.4375,10,5.5,99,9.34,23.5,1110,157,6.17,173,402,55.2,3.71,83.6,4.14,13.4,5.37,18000,49,139,36.9,86.1
W14X90,26.5,14,0.44,14.5,0.71,1.31,2,1.4375,10,5.5,90,10.2,25.9,999,143,6.14,157,362,49.9,3.7,75.6,4.1,13.3,4.06,16000,48.2,124,33.2,77.1
W14X82,24,14.3,0.51,10.1,0.855,1.45,1.6875,1.0625,10.875,5.5,82,5.92,22.4,881,123,6.05,139,148,29.3,2.48,44.8,2.85,13.4,5.07,6710,33.9,73.3,27.6,68.2
W14X74,21.8,14.2,0.45,10.1,0.785,1.38,1.625,1.0625,10.875,5.5,74,6.41,25.4,795,112,6.04,126,134,26.6,2.48,40.5,2.83,13.4,3.87,5990,33.9,67.1,25.4,62.2
W14X68,20,14,0.415,10,0.72,1.31,1.5625,1.0625,10.875,5.5,68,6.97,27.5,722,103,6.01,115,121,24.2,2.46,36.9,2.8,13.3,3.01,5380,33.2,59.8,22.9,56
W14X61,17.9,13.9,0.375,10,0.645,1.24,1.5,1,10.875,5.5,61,7.75,30.4,640,92.1,5.98,102,107,21.5,2.45,32.8,2.78,13.3,2.19,4710,33.1,53.4,20.6,50.2
W14X53,15.6,13.9,0.37,8.06,0.66,1.25,1.5,1,10.875,5.5,53,6.11,30.9,541,77.8,5.89,87.1,57.7,14.3,1.92,22,2.22,13.2,1.94,2540,26.7,35.5,16.8,42.5
W14X48,14.1,13.8,0.34,8.03,0.595,1.19,1.4375,1,10.875,5.5,48,6.75,33.6,484,70.2,5.85,78.4,51.4,12.8,1.91,19.6,2.2,13.2,1.45,2240,26.5,31.7,15.1,38.3
W14X43,12.6,13.7,0.305,8,0.53,1.12,1.375,1,10.875,5.5,43,7.54,37.4,428,62.6,5.82,69.6,45.2,11.3,1.89,17.3,2.18,13.2,1.05,1950,26.3,27.9,13.4,34
W14X38,11.2,14.1,0.31,6.77,0.515,0.915,1.25,0.8125,11.625,3.5,38,6.57,39.6,385,54.6,5.87,61.5,26.7,7.88,1.55,12.1,1.82,13.6,0.798,1230,23,20,11.3,30.3
