Shape,A,d,tw,bf,tf,k(des),k(det),k1,T,gage,wt./ft.,bf/(2*tf),h/tw,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,rts,ho,J,Cw,Wno,Sw1,Qf,Qw
S4X7.7,2.26,4,0.193,2.66,0.293,0.75,0.75,–,2.5,---,7.7,4.54,14.1,6.05,3.03,1.64,3.5,0.748,0.562,0.576,0.97,0.676,3.71,0.0732,2.57,2.47,0.481,0.671,1.73
S3X7.5,2.2,3,0.349,2.51,0.26,0.625,0.625,–,1.75,---,7.5,4.83,5.38,2.91,1.94,1.15,2.35,0.578,0.461,0.513,0.821,0.638,2.74,0.0896,1.08,1.72,0.28,0.385,1.16
S3X5.7,1.66,3,0.17,2.33,0.26,0.625,0.625,–,1.75,---,5.7,4.48,11,2.5,1.67,1.23,1.94,0.447,0.383,0.518,0.656,0.605,2.74,0.0433,0.838,1.6,0.242,0.385,0.961
HP18X204,60.2,18.3,1.13,18.1,1.13,2.31,2.3125,1.75,13.5,7.5,204,8.01,12.1,3480,380,7.6,433,1120,124,4.31,191,5.03,17.2,29.5,82500,77.7,397,82.3,212
HP18X181,53.2,18,1,18,1,2.18,2.1875,1.68,13.5,7.5,181,9,13.6,3020,336,7.53,379,974,108,4.28,167,4.96,17,20.7,70400,76.5,344,72.3,185
HP18X157,46.2,17.7,0.87,17.9,0.87,2.05,2.0625,1.62,13.5,7.5,157,10.3,15.6,2570,290,7.46,327,833,93.1,4.25,143,4.92,16.8,13.9,59000,75.3,293,62.3,159
HP18X135,39.9,17.5,0.75,17.8,0.75,1.93,1.9375,1.56,13.5,7.5,135,11.9,18.2,2200,251,7.43,281,706,79.3,4.21,122,4.85,16.8,9.12,49500,74.5,249,53.5,136
HP16X183,54.1,16.5,1.13,16.3,1.13,2.31,2.3125,1.75,11.75,5.5,183,7.21,10.5,2510,304,6.81,349,818,100,3.89,156,4.55,15.4,26.9,48300,62.2,285,65.4,169
HP16X162,47.7,16.3,1,16.1,1,2.18,2.1875,1.68,11.75,5.5,162,8.05,11.9,2190,269,6.78,306,697,86.6,3.82,134,4.45,15.3,18.8,40800,61.6,248,57.8,149
HP16X141,41.7,16,0.875,16,0.875,2.06,2.0625,1.62,11.75,5.5,141,9.14,13.6,1870,234,6.7,264,599,74.9,3.79,116,4.4,15.1,12.9,34300,60.5,212,50,128
HP16X121,35.8,15.8,0.75,15.9,0.75,1.93,1.9375,1.56,11.75,5.5,121,10.6,15.9,1590,201,6.66,226,504,63.4,3.75,97.6,4.34,15.1,8.35,28500,59.8,178,42.8,109
HP16X101,29.9,15.5,0.625,15.8,0.625,1.81,1.8125,1.49,11.75,5.5,101,12.6,19,1300,168,6.59,187,412,52.2,3.71,80.1,4.27,14.9,5.07,22800,58.8,145,35.3,89.3
HP16X88,25.8,15.3,0.54,15.7,0.54,1.72,1.75,1.45,11.75,5.5,88,14.5,22,1110,145,6.56,161,349,44.5,3.68,68.2,4.21,14.8,3.45,19000,57.9,123,30.2,76.2
HP14X117,34.4,14.2,0.805,14.9,0.805,1.5,1.5,1.06,11.25,5.5,117,9.25,14.2,1220,172,5.96,194,443,59.5,3.59,91.4,4.15,13.4,8.02,19900,49.9,149,38,96.3
HP14X102,30.1,14,0.705,14.8,0.705,1.38,1.375,1,11.25,5.5,102,10.5,16.2,1050,150,5.92,169,380,51.4,3.56,78.8,4.1,13.3,5.39,16800,49.2,128,33,83.3
HP14X89,26.1,13.8,0.615,14.7,0.615,1.31,1.3125,0.938,11.25,5.5,89,11.9,18.5,904,131,5.88,146,326,44.3,3.53,67.7,4.05,13.2,3.59,14200,48.5,110,28.6,71.9
HP14X73,21.4,13.6,0.505,14.6,0.505,1.19,1.1875,0.875,11.25,5.5,73,14.4,22.6,729,107,5.84,118,261,35.8,3.49,54.6,4,13.1,2.01,11200,47.8,88,23.3,58.3
HP12X84,24.6,12.3,0.685,12.3,0.685,1.38,1.375,1,9.5,5.5,84,8.97,14.2,650,106,5.14,120,213,34.6,2.94,53.2,3.41,11.6,4.24,7140,35.6,75,23.1,59
HP12X74,21.8,12.1,0.605,12.2,0.61,1.31,1.3125,0.938,9.5,5.5,74,10,16.1,569,93.8,5.11,105,186,30.4,2.92,46.6,3.38,11.5,2.98,6160,35.2,65.5,20.4,51.9
HP12X63,18.4,11.9,0.515,12.1,0.515,1.25,1.25,0.875,9.5,5.5,63,11.8,18.9,472,79.1,5.06,88.3,153,25.3,2.88,38.7,3.33,11.4,1.83,5000,34.6,54.1,17.1,43.3
HP12X53,15.5,11.8,0.435,12,0.435,1.13,1.125,0.875,9.5,5.5,53,13.8,22.3,393,66.7,5.03,74,127,21.1,2.86,32.2,3.29,11.4,1.12,4080,34.2,44.7,14.3,36.2
HP10X57,16.7,9.99,0.565,10.2,0.565,1.25,1.25,0.938,7.5,5.5,57,9.03,13.9,294,58.8,4.18,66.5,101,19.7,2.45,30.3,2.84,9.43,1.97,2240,24.1,34.8,12.9,32.8
HP10X42,12.4,9.7,0.415,10.1,0.42,1.13,1.125,0.812,7.5,5.5,42,12,18.9,210,43.4,4.13,48.3,71.7,14.2,2.41,21.8,2.77,9.28,0.813,1540,23.4,24.7,9.41,23.7
HP8X36,10.6,8.02,0.445,8.16,0.445,1.13,1.125,0.875,5.75,5.5,36,9.16,14.2,119,29.8,3.36,33.6,40.3,9.88,1.95,15.2,2.26,7.58,0.77,578,15.4,14,6.5,16.6
