Shape,A,h,b,t(nom),t(des),wt./ft.,b/t,h/t,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,h(flat),b(flat),J,C,A(surf)
HSS9X7X1/2,13.5,9,7,0.5,0.465,48.85,12,16.3,149,33,3.32,40.5,100,28.7,2.73,34,6.75,4.75,197,51.5,2.53
HSS9X7X3/8,10.4,9,7,0.375,0.349,37.69,17,22.8,119,26.4,3.38,31.8,80.4,23,2.78,26.7,7.3125,5.3125,154,40,2.57
HSS9X7X5/16,8.76,9,7,0.3125,0.291,31.84,21.1,27.9,102,22.6,3.41,27.1,69.2,19.8,2.81,22.8,7.625,5.625,131,33.9,2.58
HSS9X7X1/4,7.1,9,7,0.25,0.233,25.82,27,35.6,84.1,18.7,3.44,22.2,57.2,16.3,2.84,18.7,7.875,5.875,107,27.6,2.6
HSS9X7X3/16,5.37,9,7,0.1875,0.174,19.63,37.2,48.7,64.7,14.4,3.47,16.9,44.1,12.6,2.87,14.3,8.1875,6.1875,81.7,20.9,2.62
HSS9X5X5/8,14,9,5,0.625,0.581,50.81,5.61,12.5,133,29.6,3.08,38.5,52,20.8,1.92,25.3,6.1875,2.1875,128,42.5,2.17
HSS9X5X1/2,11.6,9,5,0.5,0.465,42.05,7.74,16.3,115,25.5,3.14,32.5,45.2,18.1,1.97,21.5,6.75,2.75,109,35.6,2.2
HSS9X5X3/8,8.97,9,5,0.375,0.349,32.58,11.3,22.8,92.5,20.5,3.21,25.7,36.8,14.7,2.03,17.1,7.3125,3.3125,86.9,27.9,2.23
HSS9X5X5/16,7.59,9,5,0.3125,0.291,27.59,14.2,27.9,79.8,17.7,3.24,22,32,12.8,2.05,14.6,7.625,3.625,74.4,23.8,2.25
HSS9X5X1/4,6.17,9,5,0.25,0.233,22.42,18.5,35.6,66.1,14.7,3.27,18.1,26.6,10.6,2.08,12,7.875,3.875,61.2,19.4,2.27
HSS9X5X3/16,4.67,9,5,0.1875,0.174,17.08,25.7,48.7,51.1,11.4,3.31,13.8,20.7,8.28,2.1,9.25,8.1875,4.1875,46.9,14.8,2.28
HSS9X3X1/2,9.74,9,3,0.5,0.465,35.24,3.44,16.3,80.8,18,2.88,24.6,13.2,8.81,1.17,10.8,6.75,---,40,19.7,1.87
HSS9X3X3/8,7.58,9,3,0.375,0.349,27.48,5.59,22.8,66.3,14.7,2.96,19.7,11.2,7.45,1.21,8.8,7.3125,---,33.1,15.8,1.9
HSS9X3X5/16,6.43,9,3,0.3125,0.291,23.34,7.32,27.9,57.7,12.8,3,16.9,9.88,6.59,1.24,7.63,7.625,---,28.9,13.6,1.92
HSS9X3X1/4,5.24,9,3,0.25,0.233,19.02,9.87,35.6,48.2,10.7,3.04,14,8.38,5.59,1.27,6.35,7.875,---,24.2,11.3,1.93
HSS9X3X3/16,3.98,9,3,0.1875,0.174,14.53,14.3,48.7,37.6,8.35,3.07,10.8,6.64,4.42,1.29,4.92,8.1875,2.1875,18.9,8.66,1.95
HSS8X8X5/8,16.4,8,8,0.625,0.581,59.32,10.8,10.8,146,36.5,2.99,44.7,146,36.5,2.99,44.7,5.1875,5.1875,244,63.2,2.5
HSS8X8X1/2,13.5,8,8,0.5,0.465,48.85,14.2,14.2,125,31.2,3.04,37.5,125,31.2,3.04,37.5,5.75,5.75,204,52.4,2.53
HSS8X8X3/8,10.4,8,8,0.375,0.349,37.69,19.9,19.9,100,24.9,3.1,29.4,100,24.9,3.1,29.4,6.3125,6.3125,160,40.7,2.57
HSS8X8X5/16,8.76,8,8,0.3125,0.291,31.84,24.5,24.5,85.6,21.4,3.13,25.1,85.6,21.4,3.13,25.1,6.625,6.625,136,34.5,2.58
HSS8X8X1/4,7.1,8,8,0.25,0.233,25.82,31.3,31.3,70.7,17.7,3.15,20.5,70.7,17.7,3.15,20.5,6.875,6.875,111,28.1,2.6
HSS8X8X3/16,5.37,8,8,0.1875,0.174,19.63,43,43,54.4,13.6,3.18,15.7,54.4,13.6,3.18,15.7,7.1875,7.1875,84.5,21.3,2.62
HSS8X8X1/8,3.62,8,8,0.125,0.116,13.26,65.9,65.9,37.4,9.34,3.21,10.7,37.4,9.34,3.21,10.7,7.4375,7.4375,57.3,14.4,2.63
HSS8X6X5/8,14,8,6,0.625,0.581,50.81,7.33,10.8,114,28.5,2.85,36.1,72.3,24.1,2.27,29.5,5.1875,3.1875,150,46,2.17
HSS8X6X1/2,11.6,8,6,0.5,0.465,42.05,9.91,14.2,98.2,24.6,2.91,30.5,62.5,20.8,2.32,24.9,5.75,3.75,127,38.4,2.2
HSS8X6X3/8,8.97,8,6,0.375,0.349,32.58,14.2,19.9,79.1,19.8,2.97,24.1,50.6,16.9,2.38,19.8,6.3125,4.3125,100,30,2.23
HSS8X6X5/16,7.59,8,6,0.3125,0.291,27.59,17.6,24.5,68.3,17.1,3,20.6,43.8,14.6,2.4,16.9,6.625,4.625,85.8,25.5,2.25
HSS8X6X1/4,6.17,8,6,0.25,0.233,22.42,22.7,31.3,56.6,14.2,3.03,16.9,36.4,12.1,2.43,13.9,6.875,4.875,70.3,20.8,2.27
HSS8X6X3/16,4.67,8,6,0.1875,0.174,17.08,31.5,43,43.7,10.9,3.06,13,28.2,9.39,2.46,10.7,7.1875,5.1875,53.7,15.8,2.28
HSS8X4X5/8,11.7,8,4,0.625,0.581,42.3,3.89,10.8,82,20.5,2.64,27.4,26.6,13.3,1.51,16.6,5.1875,---,70.3,28.7,1.83
HSS8X4X1/2,9.74,8,4,0.5,0.465,35.24,5.59,14.2,71.8,17.9,2.71,23.5,23.6,11.8,1.56,14.3,5.75,---,61.1,24.4,1.87
HSS8X4X3/8,7.58,8,4,0.375,0.349,27.48,8.45,19.9,58.7,14.7,2.78,18.8,19.6,9.8,1.61,11.5,6.3125,2.3125,49.3,19.3,1.9
HSS8X4X5/16,6.43,8,4,0.3125,0.291,23.34,10.8,24.5,51,12.8,2.82,16.1,17.2,8.58,1.63,9.91,6.625,2.625,42.6,16.5,1.92
HSS8X4X1/4,5.24,8,4,0.25,0.233,19.02,14.2,31.3,42.5,10.6,2.85,13.3,14.4,7.21,1.66,8.2,6.875,2.875,35.3,13.6,1.93
HSS8X4X3/16,3.98,8,4,0.1875,0.174,14.53,20,43,33.1,8.27,2.88,10.2,11.3,5.65,1.69,6.33,7.1875,3.1875,27.2,10.4,1.95
HSS8X4X1/8,2.7,8,4,0.125,0.116,9.86,31.5,65.9,22.9,5.73,2.92,7.02,7.9,3.95,1.71,4.36,7.4375,3.4375,18.7,7.1,1.97
